source,doi,article,technical.quality,risk.quality,total.quality,tech.tier.zero,tech.tier.zero.criteria.failure,risk.tier.zero,risk.tier.zero.criteria.failure,authors,year,genus,species,organism.group,environment,life.stage,invitro.invivo,sex,max.size.ingest.mm,ingest.size.source,exposure.route,leachate.only,mix,type,negative.control,reference.material,exposure.media,solvent,detergent,media.sal.ppt,media.ph,media.temp,media.temp.min,media.temp.max,exposure.duration.d,treatments,replicates,dosing.frequency,sample.size,dose.particles.mL.nominal,dose.particles.mL.min.nominal,dose.particles.mL.max.nominal,dose.mg.L.nominal,dose.mg.kg.sed.nominal,dose.mg.kg.food.nominal,dose.particles.kg.food.nominal,dose.particles.kg.food.min.nominal,dose.particles.kg.food.max.nominal,dose.percent.sed.nominal,dose.particles.m2.nominal,dose.mg.m2.nominal,dose.percent.food.nominal,dose.particles.kg.sed.nominal,chem.add.nominal,chem.add.dose.mg.L.nominal,chem.exp.typ.nominal,dose.particles.mL.measured,dose.particles.mL.min.measured,dose.particles.mL.max.measured,dose.mg.L.measured,dose.mg.kg.sed.measured,dose.mg.kg.food.measured,dose.particles.kg.food.measured,dose.particles.kg.food.min.measured,dose.particles.kg.food.max.measured,dose.percent.sed.measured,dose.particles.m2.measured,dose.mg.m2.measured,dose.percent.food.measured,dose.particles.kg.sed.measured,chem.add.dose.mg.L.measured,dose.particles.mL.master,dose.particles.mL.master.converted.reported,dose.mg.L.master,dose.mg.L.master.converted.reported,effect,effect.metric,af.time,acute.chronic,af.noec,direction,stat.clarity,lvl1,lvl2,lvl3,effect.score,bio.org,target.cell.tissue,polymer,density.g.cm3,density.mg.um.3,density.reported.estimated,shape,charge,zetapotential.mV,zetapotential.media,functional.group,size.length.mm.nominal,size.length.min.mm.nominal,size.length.max.mm.nominal,size.length.mm.measured,size.length.min.mm.measured,size.length.max.mm.measured,size.width.mm.nominal,size.width.min.mm.nominal,size.width.max.mm.nominal,size.width.mm.measured,size.width.min.mm.measured,size.width.max.mm.measured,size.height.mm.nominal,size.height.min.mm.nominal,size.height.max.mm.nominal,size.height.mm.measured,size.height.min.mm.measured,size.height.max.mm.measured,csf,csf.calculated.estimated,size.length.um.used.for.conversions,size.width.um.used.for.conversions,particle.volume.um3,mass.per.particle.mg,size.category,weather.biofoul,size.valid,size.valid.method,size.valid.media,shape.valid,shape.valid.method,polymer.valid,polymer.valid.method,particle.source,supplier.part,sodium.azide,contaminant.screen,sol.rinse,clean.method,background.plastics,concentration.valid,particle.behavior,uptake.valid,uptake.valid.method,tissue.distribution,fed,curator
Jacob,10.1021/acs.est.8b04848,117,,,,Pass,NA,Fail,"13,C1",Asmonaite,2018,Oncorhynchus,mykiss,Fish,Freshwater,Juvenile,invivo,NA,NA,,food,N,N,Lab,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,28,1,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000000,35000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,HONEC,1,chronic,1,NA,Clear,immune,chemokines.cytokines,tnfa.mrnaexpression,1,subcell,digestive.tract,PS,1.07,1.07E-09,estimated,fragment,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,estimated,250,NA,1308996.939,0.001400627,4,N,Y,digital.scanning,NA,Y,"light.microscopy,SEM",Y,FTIR,commercial,goodfellow,unknown,Y,water,rinse,Y,Y,N,N,NA,NA,Y,LTH
Jacob,10.1021/acs.est.8b04848,117,,,,Pass,NA,Fail,"13,C1",Asmonaite,2018,Oncorhynchus,mykiss,Fish,Freshwater,Juvenile,invivo,NA,NA,,food,N,N,Lab,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,28,1,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000000,35000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,HONEC,1,chronic,1,NA,Clear,immune,chemokines.cytokines,tnfa.mrnaexpression,1,subcell,digestive.tract,PS,1.09,1.09E-09,estimated,fragment,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,estimated,250,NA,1308996.939,0.001426807,4,Y,Y,digital.scanning,NA,Y,"light.microscopy,SEM",Y,FTIR,commercial,goodfellow,unknown,Y,water,rinse,Y,Y,N,N,NA,NA,Y,LTH
Jacob,10.1021/acs.est.8b04848,117,,,,Pass,NA,Fail,"13,C1",Asmonaite,2018,Oncorhynchus,mykiss,Fish,Freshwater,Juvenile,invivo,NA,NA,,food,N,N,Lab,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,28,1,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000000,35000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,HONEC,1,chronic,1,NA,Clear,immune,chemokines.cytokines,tnfa.mrnaexpression,1,subcell,digestive.tract,PS,1.09,1.09E-09,estimated,fragment,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,estimated,250,NA,1308996.939,0.001426807,4,Y,Y,digital.scanning,NA,Y,"light.microscopy,SEM",Y,FTIR,commercial,goodfellow,unknown,Y,water,rinse,Y,Y,N,N,NA,NA,Y,LTH
Jacob,10.1021/acs.est.8b04848,117,,,,Pass,NA,Fail,"13,C1",Asmonaite,2018,Oncorhynchus,mykiss,Fish,Freshwater,Juvenile,invivo,NA,NA,,food,N,N,Lab,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,28,1,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000000,35000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,HONEC,1,chronic,1,NA,Clear,immune,chemokines.cytokines,il8.mrnaexpression,1,subcell,digestive.tract,PS,1.07,1.07E-09,estimated,fragment,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,estimated,250,NA,1308996.939,0.001400627,4,N,Y,digital.scanning,NA,Y,"light.microscopy,SEM",Y,FTIR,commercial,goodfellow,unknown,Y,water,rinse,Y,Y,N,N,NA,NA,Y,LTH
Jacob,10.1021/acs.est.8b04848,117,,,,Pass,NA,Fail,"13,C1",Asmonaite,2018,Oncorhynchus,mykiss,Fish,Freshwater,Juvenile,invivo,NA,NA,,food,N,N,Lab,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,28,1,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000000,35000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,HONEC,1,chronic,1,NA,Clear,immune,chemokines.cytokines,il8.mrnaexpression,1,subcell,digestive.tract,PS,1.09,1.09E-09,estimated,fragment,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,estimated,250,NA,1308996.939,0.001426807,4,Y,Y,digital.scanning,NA,Y,"light.microscopy,SEM",Y,FTIR,commercial,goodfellow,unknown,Y,water,rinse,Y,Y,N,N,NA,NA,Y,LTH
Jacob,10.1021/acs.est.8b04848,117,,,,Pass,NA,Fail,"13,C1",Asmonaite,2018,Oncorhynchus,mykiss,Fish,Freshwater,Juvenile,invivo,NA,NA,,food,N,N,Lab,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,28,1,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000000,35000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,HONEC,1,chronic,1,NA,Clear,immune,chemokines.cytokines,il8.mrnaexpression,1,subcell,digestive.tract,PS,1.09,1.09E-09,estimated,fragment,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,estimated,250,NA,1308996.939,0.001426807,4,Y,Y,digital.scanning,NA,Y,"light.microscopy,SEM",Y,FTIR,commercial,goodfellow,unknown,Y,water,rinse,Y,Y,N,N,NA,NA,Y,LTH
Jacob,10.1021/acs.est.8b04848,117,,,,Pass,NA,Fail,"13,C1",Asmonaite,2018,Oncorhynchus,mykiss,Fish,Freshwater,Juvenile,invivo,NA,NA,,food,N,N,Lab,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,28,1,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000000,35000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,HONEC,1,chronic,1,NA,Clear,immune,chemokines.cytokines,il17.mrnaexpression,1,subcell,digestive.tract,PS,1.07,1.07E-09,estimated,fragment,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,estimated,250,NA,1308996.939,0.001400627,4,N,Y,digital.scanning,NA,Y,"light.microscopy,SEM",Y,FTIR,commercial,goodfellow,unknown,Y,water,rinse,Y,Y,N,N,NA,NA,Y,LTH
Jacob,10.1021/acs.est.8b04848,117,,,,Pass,NA,Fail,"13,C1",Asmonaite,2018,Oncorhynchus,mykiss,Fish,Freshwater,Juvenile,invivo,NA,NA,,food,N,N,Lab,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,28,1,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000000,35000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,HONEC,1,chronic,1,NA,Clear,immune,chemokines.cytokines,il17.mrnaexpression,1,subcell,digestive.tract,PS,1.09,1.09E-09,estimated,fragment,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,estimated,250,NA,1308996.939,0.001426807,4,Y,Y,digital.scanning,NA,Y,"light.microscopy,SEM",Y,FTIR,commercial,goodfellow,unknown,Y,water,rinse,Y,Y,N,N,NA,NA,Y,LTH
Jacob,10.1021/acs.est.8b04848,117,,,,Pass,NA,Fail,"13,C1",Asmonaite,2018,Oncorhynchus,mykiss,Fish,Freshwater,Juvenile,invivo,NA,NA,,food,N,N,Lab,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,28,1,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000000,35000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,HONEC,1,chronic,1,NA,Clear,immune,chemokines.cytokines,il17.mrnaexpression,1,subcell,digestive.tract,PS,1.09,1.09E-09,estimated,fragment,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,estimated,250,NA,1308996.939,0.001426807,4,Y,Y,digital.scanning,NA,Y,"light.microscopy,SEM",Y,FTIR,commercial,goodfellow,unknown,Y,water,rinse,Y,Y,N,N,NA,NA,Y,LTH
Jacob,10.1021/acs.est.8b04848,117,,,,Pass,NA,Fail,"13,C1",Asmonaite,2018,Oncorhynchus,mykiss,Fish,Freshwater,Juvenile,invivo,NA,NA,,food,N,N,Lab,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,28,1,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000000,35000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,HONEC,1,chronic,1,NA,Clear,immune,chemokines.cytokines,il1b.mrnaexpression,1,subcell,digestive.tract,PS,1.07,1.07E-09,estimated,fragment,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,estimated,250,NA,1308996.939,0.001400627,4,N,Y,digital.scanning,NA,Y,"light.microscopy,SEM",Y,FTIR,commercial,goodfellow,unknown,Y,water,rinse,Y,Y,N,N,NA,NA,Y,LTH
Jacob,10.1021/acs.est.8b04848,117,,,,Pass,NA,Fail,"13,C1",Asmonaite,2018,Oncorhynchus,mykiss,Fish,Freshwater,Juvenile,invivo,NA,NA,,food,N,N,Lab,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,28,1,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000000,35000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,HONEC,1,chronic,1,NA,Clear,immune,chemokines.cytokines,il1b.mrnaexpression,1,subcell,digestive.tract,PS,1.09,1.09E-09,estimated,fragment,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,estimated,250,NA,1308996.939,0.001426807,4,Y,Y,digital.scanning,NA,Y,"light.microscopy,SEM",Y,FTIR,commercial,goodfellow,unknown,Y,water,rinse,Y,Y,N,N,NA,NA,Y,LTH
Jacob,10.1021/acs.est.8b04848,117,,,,Pass,NA,Fail,"13,C1",Asmonaite,2018,Oncorhynchus,mykiss,Fish,Freshwater,Juvenile,invivo,NA,NA,,food,N,N,Lab,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,28,1,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000000,35000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,HONEC,1,chronic,1,NA,Clear,immune,chemokines.cytokines,il1b.mrnaexpression,1,subcell,digestive.tract,PS,1.09,1.09E-09,estimated,fragment,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,estimated,250,NA,1308996.939,0.001426807,4,Y,Y,digital.scanning,NA,Y,"light.microscopy,SEM",Y,FTIR,commercial,goodfellow,unknown,Y,water,rinse,Y,Y,N,N,NA,NA,Y,LTH
