"","rowid","source","doi","article","tech.a1","tech.a2","tech.a3","tech.a4","tech.a5","tech.a6","tech.1","tech.2","tech.3","tech.4","tech.5","tech.6","tech.7","tech.8","tech.9","tech.10","tech.11","tech.12","risk.b1","risk.13","risk.14","risk.15","risk.16","risk.17","risk.18","risk.19","risk.20","technical.quality","risk.quality","total.quality","score.source","tech.tier.zero","tech.tier.zero.criteria.failure","risk.tier.zero","risk.tier.zero.criteria.failure","authors","year","genus","species","organism.group","environment","life.stage","invitro.invivo","sex","body.length.cm","body.size.source","max.size.ingest.mm","ingest.size.source","exposure.route","leachate.only","mix","type","negative.control","reference.material","exposure.media","solvent","detergent","media.sal.ppt","media.ph","media.temp","media.temp.min","media.temp.max","exposure.duration.d","treatments","replicates","dosing.frequency","sample.size","dose.particles.mL.nominal","dose.particles.mL.min.nominal","dose.particles.mL.max.nominal","dose.mg.L.nominal","dose.mg.kg.sed.nominal","dose.mg.kg.food.nominal","dose.particles.kg.food.nominal","dose.percent.sed.nominal","dose.particles.m2.nominal","dose.mg.m2.nominal","dose.percent.food.nominal","dose.particles.kg.sed.nominal","chem.add.nominal","chem.add.dose.mg.L.nominal","chem.exp.typ.nominal","dose.particles.mL.measured","dose.mg.L.measured","dose.mg.kg.sed.measured","dose.mg.kg.food.measured","dose.particles.kg.food.measured","dose.particles.kg.food.min.measured","dose.particles.kg.food.max.measured","dose.percent.sed.measured","dose.particles.m2.measured","chem.add.dose.mg.L.measured","dose.particles.mL.master","dose.particles.mL.master.converted.reported","dose.mg.L.master","dose.mg.L.master.converted.reported","effect","effect.metric","af.time","acute.chronic","af.noec","direction","stat.clarity","lvl1","lvl2","lvl3","effect.score","bio.org","target.cell.tissue","polymer","density.g.cm3","density.mg.um.3","density.reported.estimated","shape","charge","zetapotential.mV","zetapotential.media","functional.group","size.length.mm.nominal","size.length.min.mm.nominal","size.length.max.mm.nominal","size.length.mm.measured","size.length.min.mm.measured","size.length.max.mm.measured","size.width.mm.nominal","size.width.min.mm.nominal","size.width.max.mm.nominal","size.width.mm.measured","size.width.min.mm.measured","size.width.max.mm.measured","size.height.mm.nominal","size.height.min.mm.nominal","size.height.max.mm.nominal","size.height.mm.measured","size.height.min.mm.measured","size.height.max.mm.measured","csf","csf.calculated.estimated","size.length.um.used.for.conversions","size.width.um.used.for.conversions","particle.surface.area.um2","particle.volume.um3","mass.per.particle.mg","size.category","weather.biofoul","size.valid","size.valid.method","size.valid.media","shape.valid","shape.valid.method","polymer.valid","polymer.valid.method","particle.source","supplier.part","sodium.azide","contaminant.screen","sol.rinse","clean.method","background.plastics","concentration.valid","particle.behavior","uptake.valid","uptake.valid.method","tissue.distribution","fed","curator","effect_f","size_f","shape_f","poly_f","org_f","lvl1_f","lvl2_f","lvl3_f","bio_f","vivo_f","life_f","env_f","species_f","af.time_noNA","acute.chronic_f","tier_zero_tech_f","tier_zero_risk_f","weather.biofoul_f","treatment_range","max.size.ingest.um","exp_type_f","dose.surface.area.um2.mL.master","particle.surface.area.um2.mg","polydispersity","size.length.min.um.used.for.conversions","size.width.min.um.used.for.conversions","size.height.min.um.used.for.conversions","size.length.max.um.used.for.conversions","size.width.max.um.used.for.conversions","size.height.max.um.used.for.conversions","particle.surface.area.um2.min","particle.surface.area.um2.max","particle.volume.um3.min","particle.volume.um3.max","mass.per.particle.mg.min","mass.per.particle.mg.max","dose.um3.mL.master","dose.um2.mL.master","dose.um2.ug.mL.master","environment.noNA","Species","Group"
"11",5731,"Workshop","10.1016/j.envpol.2019.113024",159,2,2,2,2,2,2,1,2,1,1,2,0,1,0,2,1,2,2,2,2,2,0,0,2,0,0,1,15,7,22,"EM,LH","Pass",NA,"Pass",NA,"Wang",2019,"Oryzias","melastigma","Fish","Marine","Adult","invivo","F",4,"fishbase.org",2.76939075388703,NA,"water","N","N","Lab","Y","N","seawater",NA,NA,NA,NA,27,NA,NA,60,3,3,0,20,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",50.0987,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.0987,"reported",0.2,"reported","Y","LOEC",1,"chronic",2,"increase","Clear","fitness","sexhormones","ara.mrnaexpression",1,"subcell","liver","PS",1.07,1.07e-09,"estimated","sphere",NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,314.1592654,523.5987756,5.6e-07,3,"N","N",NA,NA,"Y","microscopy","N",NA,"commercial","baseline.cromtech","unknown","N","No","Not Cleaned","N","Y","sonicated","Y","dissection h2o2 digestion microscopy","liver,gills,gut","Y","SK,LTH","Yes","1µm < 100µm","Sphere","Polystyrene","Fish","Fitness","Sex Hormones","Androgen Receptor a mRNA expression","Subcell","In Vivo","Adult","Marine","Oryzias melastigma","1","Chronic","Red Criteria Passed","Red Criteria Passed","No","3",2769.39075388703,"Particle Only",15738.970789495,560998688.214286,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26231.6179791517,15738.970789495,28105304981241,"Marine","Oryzias melastigma","Fish"
"12",1092,"Koelmans,Rochman","10.1016/j.envpol.2016.07.017",40,2,2,2,2,2,2,2,2,1,2,1,0,0,0,0,0,1,2,0,2,2,0,0,0,2,2,2,11,10,21,"de Ruijter","Pass",NA,"Fail","B1","Imhof & Laforsch",2016,"Potamopyrgus","antipodarum","Mollusca","Marine","Juvenile","invivo",NA,0.6,"WoRMS",0.470729139235184,NA,"food","N","Y","Lab","Y","N","artificial medium",NA,NA,NA,NA,16,NA,NA,141,2,7,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,1,"chronic",NA,NA,"Clear","fitness","growth","body.mass",3,"organism",NA,"PC",1.2,1.2e-09,"reported","fragment",NA,NA,NA,NA,NA,NA,NA,0.1301,0.01148,0.6016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",130.1,NA,122037.532147416,458023.816749595,0.000221377,4,"N","Y","microscopy",NA,"Y","microscopy","N",NA,"modified","teijin.kasei.america,Panlite L 1250-Y","unknown","N","No","Not Cleaned","N","N","Not Evaluated","N",NA,NA,"Y","LTH,EM","No","100µm < 1mm","Fragment","Polycarbonate","Mollusca","Fitness","Growth","Body Mass","Organism","In Vivo","Juvenile","Marine","Potamopyrgus antipodarum","1","Chronic","Red Criteria Passed","Red Criteria Failed","No","2",470.729139235184,"Particle Only",NA,551265633.500391,"monodisperse",11.48,8.8396,5.922532,601.6,463.232,310.36544,950.216570634239,2609483.04124098,469.683968470303,67593285.3041518,0.000563620762164364,81.1119423649822,NA,NA,NA,"Marine","Potamopyrgus antipodarum","Mollusca"
"13",2960,"Koelmans","10.1016/j.scitotenv.2018.06.141",92,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,1,2,2,2,0,0,2,0,0,0,0,12,4,16,"de Ruijter","Pass",NA,"Pass",NA,"Sun",2018,"Halomonas","alkaliphila","Bacterium","Marine","Not Reported","invivo",NA,NA,NA,NA,NA,NA,"N","N","Lab","N","N","sterile natural seawater",NA,NA,32,7.8,28,NA,NA,0.083,5,3,1,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179229318.9,"converted",20,"reported","Y","LOEC",10,"acute",2,"increase","Clear","fitness","mortality","cell.viability",6,"cell",NA,"PS",1.07,1.07e-09,"estimated","sphere","negative",-5.1,"sterile.natural.seawater",NA,5.5e-05,NA,NA,0.000584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.584,NA,1.071459024,0.104288678,1.12e-10,2,"N","Y","particle.size.analyzer","sterile.natural.seawater","Y","TEM","N",NA,"commercial","sigma,L1148","N","N","No","Not Cleaned","N","N","sonicated","N",NA,NA,NA,"LTH,EM","Yes","100nm < 1µm","Sphere","Polystyrene","Bacterium","Fitness","Mortality","Cell Viability","Cell","In Vivo","Not Reported","Marine","Halomonas alkaliphila","10","Acute","Red Criteria Passed","Red Criteria Passed","No","1-5",NA,"Particle Only",192036871.100779,9566598428.57143,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18691588.7269214,192036871.100779,1.71461492054267e+21,"Marine","Halomonas alkaliphila","Bacterium"
"14",4161,"Jacob","10.1016/j.aquatox.2015.11.011",127,2,2,2,2,2,2,1,1,1,2,1,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,9,2,11,"EM,SS","Pass",NA,"Fail","B1","Ferrerira",2016,"Pomatoschistus","microps","Fish","Marine","Juvenile","invivo",NA,9,"fishbase.org",5.90687700693965,NA,"water","N","N","Lab","Y","N","artificial seawater",NA,NA,18,NA,25,NA,NA,4,1,9,1,1,NA,NA,NA,0.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,0.182,NA,NA,NA,NA,NA,NA,NA,NA,10728.22209,"converted",0.182,"reported","N","HONEC",10,"acute",1,NA,"Clear","metabolism","detoxification","gst.activity",1,"subcell","whole.body","PE",1.2,1.2e-09,"reported","sphere",NA,NA,NA,NA,NA,0.001,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,28.27433388,14.13716694,1.7e-08,3,"N","N",NA,NA,"N",NA,"N",NA,"commercial","cospheric","unknown","N","No","Not Cleaned","N","Y","Not Evaluated","N",NA,NA,"Y","LTH","No","1µm < 100µm","Sphere","Polyethylene","Fish","Metabolism","Detoxification","Glutathione S-Transferase Activity","Subcell","In Vivo","Juvenile","Marine","Pomatoschistus microps","10","Acute","Red Criteria Passed","Red Criteria Failed","No","1",5906.87700693965,"Particle Only",303333.333311451,1663196110.58824,"polydisperse",1,1,1,5,5,5,12.5663706143592,314.159265358979,0.523598775598299,65.4498469497874,6.28318530717959e-07,7.85398163397448e-05,151666.666655726,303333.333311451,17843137253614786,"Marine","Pomatoschistus microps","Fish"
"15",2067,"Koelmans","10.1016/j.chemosphere.2018.05.170",65,2,2,2,2,2,2,2,2,1,2,1,0,0,0,0,0,1,2,2,2,2,0,0,2,1,0,2,11,9,20,"de Ruijter","Pass",NA,"Pass",NA,"Mao",2018,"Chlorella","pyrenoidosa","Algae","Freshwater","Not Reported","invivo",NA,NA,NA,NA,NA,"water","N","N","Lab","Y","N","BG11 medium",NA,NA,NA,NA,25,NA,NA,30,3,3,0,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17849152.5,"converted",10,"reported","N",NA,1,"chronic",NA,NA,"Unclear","metabolism","photosynthesis","rc.abs",2,"cell",NA,"PS",1.07,1.07e-09,"estimated","sphere",NA,NA,NA,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.141592654,0.523598776,5.6e-10,3,"N","Y","dynamic.light.scatter",NA,"Y","SEM","N",NA,"commercial","sigma","unknown","N","No","Not Cleaned","N","N","Not Evaluated","N",NA,NA,NA,"LTH,EM","No","1µm < 100µm","Sphere","Polystyrene","Algae","Metabolism","Photosynthesis","RC/ABS","Cell","In Vivo","Not Reported","Freshwater","Chlorella pyrenoidosa","1","Chronic","Red Criteria Passed","Red Criteria Passed","No","3",NA,"Particle Only",56074766.3741257,5609986882.14286,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9345794.40163734,56074766.3741257,1.00133511382367e+20,"Freshwater","Chlorella pyrenoidosa","Algae"
"16",4879,"Rochman","10.1007/s13762-016-1171-4",148,2,2,2,2,2,2,0,0,0,1,1,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,5,2,7,"EM,JV","Fail","1,2,3","Fail","B1","Haghi",2017,"Cyprinus","carpio","Fish","Freshwater","Juvenile","invivo",NA,31,"fishbase.org",18.7534406431521,NA,"water","N","N","Lab","Y","N","freshwater",NA,NA,NA,7.4,24,NA,NA,21,2,3,1,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"reported","Y","LOEC",10,"acute",2,"decrease","Clear","metabolism","oxidative.stress","ggt.activity",1,"subcell","blood","PE",0.935,9.35e-10,"estimated","Not Reported",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"N","N",NA,NA,"N",NA,"N",NA,"lab",NA,"N","N","No","Not Cleaned","N","N","Not Evaluated","N",NA,NA,"Y","LTH","Yes","Not Reported","Not Reported","Polyethylene","Fish","Metabolism","Oxidative Stress","Gamma-Glutamyl Transferase Activity","Subcell","In Vivo","Juvenile","Freshwater","Cyprinus carpio","10","Acute","Red Criteria Failed","Red Criteria Failed","No","2",18753.4406431521,"Particle Only",NA,NA,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","Cyprinus carpio","Fish"
"17",3140,"Koelmans,Rochman","10.1021/acs.est.6b01187",100,2,2,2,2,2,2,1,1,1,2,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,9,2,11,"de Ruijter","Pass",NA,"Fail","B1","Watts",2016,"Carcinus","maenas","Crustacea","Marine","Adult","invivo","F",4,"sealifebase.org",2.76939075388703,NA,"water","N","N","Lab","Y","Y","artificial seawater",NA,NA,10,NA,14.5,NA,NA,1,2,10,1,1,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,"reported",2.868483532,"converted","N",NA,10,"acute",NA,NA,"Clear","fitness","mortality","mortality",6,"organism",NA,"PS",1.07,1.07e-09,"estimated","sphere",NA,NA,NA,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,201.0619298,268.0825731,2.87e-07,3,"N","N",NA,NA,"N",NA,"N",NA,"commercial","spherotech","unknown","N","No","Not Cleaned","N","N","Not Evaluated","Y","coherent raman scattering microscopy","gills","N","LTH,EM","No","1µm < 100µm","Sphere","Polystyrene","Crustacea","Fitness","Mortality","Mortality","Organism","In Vivo","Adult","Marine","Carcinus maenas","10","Acute","Red Criteria Passed","Red Criteria Failed","No","2",2769.39075388703,"Particle Only",2010619.298,700564215.33101,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2680825.731,2010619.298,7005642153310105,"Marine","Carcinus maenas","Crustacea"
"18",254,"Koelmans","10.1016/j.envpol.2018.02.006",9,2,2,2,2,2,2,2,1,1,2,2,1,0,0,1,2,1,2,2,2,2,0,0,1,1,0,2,15,8,23,"de Ruijter","Pass",NA,"Pass",NA,"Bour",2018,"Abra","nitida","Mollusca","Marine","Adult","invivo",NA,1.2,"WoRMS",0.899421369716785,NA,"sediment","N","N","Lab","Y","N","sediment seawater",NA,NA,34,NA,NA,7.1,7.3,28,3,4,0,2,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,940,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,1,"chronic",NA,NA,"Clear","fitness","mortality","mortality",6,"organism",NA,"PE",0.96,9.6e-10,"reported","fragment",NA,NA,NA,NA,NA,0.125,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",312.5,NA,704107.332370187,6347551.5532966,0.002454369,4,"N","N",NA,NA,"N",NA,"N",NA,"commercial","micropowders","unknown","Y","No","Not Cleaned","N","N","Not Evaluated","Y","koh disgestion microscopy","whole body","Y","LTH","No","100µm < 1mm","Fragment","Polyethylene","Mollusca","Fitness","Mortality","Mortality","Organism","In Vivo","Adult","Marine","Abra nitida","1","Chronic","Red Criteria Passed","Red Criteria Passed","No","3",899.421369716785,"Particle Only",NA,286879166.24199,"polydisperse",125,96.25,64.4875,500,385,257.95,112657.17317923,1802514.77086768,606331.472758264,38805214.2565289,0.582078213847934,37.2530056862678,NA,NA,NA,"Marine","Abra nitida","Mollusca"
"19",5402,"Workshop","10.1016/j.envpol.2019.113024",159,2,2,2,2,2,2,1,2,1,1,2,0,1,0,2,1,2,2,2,2,2,0,0,2,0,0,1,15,7,22,"EM,LH","Pass",NA,"Pass",NA,"Wang",2019,"Oryzias","melastigma","Fish","Marine","Adult","invivo","M",4,"fishbase.org",2.76939075388703,NA,"water","N","N","Lab","Y","N","seawater",NA,NA,NA,NA,27,NA,NA,60,3,3,0,20,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",0.5787,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5787,"reported",0.002,"reported","N",NA,1,"chronic",NA,NA,"Clear","metabolism","oxidative.stress","sod.activity",1,"subcell","testis","PS",1.07,1.07e-09,"estimated","sphere",NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,314.1592654,523.5987756,5.6e-07,3,"N","N",NA,NA,"Y","microscopy","N",NA,"commercial","baseline.cromtech","unknown","N","No","Not Cleaned","N","Y","sonicated","Y","dissection h2o2 digestion microscopy","liver,gills,gut","Y","SK,LTH","No","1µm < 100µm","Sphere","Polystyrene","Fish","Metabolism","Oxidative Stress","Superoxide Dismutase Activity","Subcell","In Vivo","Adult","Marine","Oryzias melastigma","1","Chronic","Red Criteria Passed","Red Criteria Passed","No","3",2769.39075388703,"Particle Only",181.80396688698,560998688.214286,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.00661143972,181.80396688698,324649940869.607,"Marine","Oryzias melastigma","Fish"
"20",183,"Koelmans","10.1016/j.envpol.2018.02.006",9,2,2,2,2,2,2,2,1,1,2,2,1,0,0,1,2,1,2,2,2,2,0,0,1,1,0,2,15,8,23,"de Ruijter","Pass",NA,"Pass",NA,"Bour",2018,"Abra","nitida","Mollusca","Marine","Adult","invivo",NA,1.2,"WoRMS",0.899421369716785,NA,"sediment","N","N","Lab","Y","N","sediment seawater",NA,NA,34,NA,NA,7.1,7.3,28,3,4,0,2,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,232500000,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","HONEC",1,"chronic",1,NA,"Clear","metabolism","lipid.metabolism","lipid.content",1,"subcell","whole.body","PE",0.96,9.6e-10,"reported","fragment",NA,NA,NA,NA,NA,0.004,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",5,NA,180.251477086768,25.9995711623029,1.01e-08,3,"N","N",NA,NA,"N",NA,"N",NA,"commercial","micropowders","unknown","Y","No","Not Cleaned","N","N","Not Evaluated","Y","koh disgestion microscopy","whole body","Y","LTH","No","1µm < 100µm","Fragment","Polyethylene","Mollusca","Metabolism","Lipid Metabolism","Lipid Content","Subcell","In Vivo","Adult","Marine","Abra nitida","1","Chronic","Red Criteria Passed","Red Criteria Passed","No","3",899.421369716785,"Particle Only",NA,17846680899.68,"polydisperse",4,3.08,2.0636,6,4.62,3.0954,115.360945335531,259.562127004946,19.8682696993428,67.055410235282,1.90735389113691e-05,6.43731938258707e-05,NA,NA,NA,"Marine","Abra nitida","Mollusca"
"21",118,"Rochman","10.1021/es503001d",6,2,2,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,2,2,2,2,0,2,2,0,0,2,11,10,21,"VDR,JV","Pass",NA,"Pass",NA,"Besseling",2014,"Daphnia","magna","Crustacea","Freshwater","Early","invivo","F",0.5,"Koelmans 2020",0.11487,"Koelmans 2020","water","N","N","Lab","Y","N","RT medium",NA,"SDS",NA,7.8,21,NA,NA,21,10,12,3,1,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67e+11,"converted",32,"reported","N",NA,1,"chronic",NA,NA,"Unclear","fitness","reproduction","num.offspring",4,"organism",NA,"PS",1.07,1.07e-09,"estimated","sphere",NA,NA,NA,"COOH",NA,NA,NA,7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,0.015393804,0.000179594,1.92e-13,1,"N","Y","TEM",NA,"Y","TEM","N",NA,"lab",NA,"N","N","No","Not Cleaned","N","N","aggregates observed via TEM","N",NA,NA,"Y","LTH,EM","No","1nm < 100nm","Sphere","Polystyrene","Crustacea","Fitness","Reproduction","Number of Offspring","Organism","In Vivo","Early","Freshwater","Daphnia magna","1","Chronic","Red Criteria Passed","Red Criteria Passed","No","5-10",114.87,"Particle Only",2570765268,80176062500,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29992198,2570765268,1.33894024375e+25,"Freshwater","Daphnia magna","Crustacea"
"22",5100,"Workshop","doi.org/10.1016/j.envpol.2018.08.020",153,2,2,2,2,2,2,2,1,2,2,1,1,0,0,0,2,0,2,2,2,2,2,1,2,0,1,0,13,10,23,"EM,LH","Pass",NA,"Pass",NA,"Tallec",2018,"Crassostrea","gigas","Mollusca","Marine","Adult","invivo",NA,15,"sealifebase.org",9.51890176843551,NA,"water","N","N","Lab","Y","N","uv treated filtered seawater",NA,"tween20",NA,NA,NA,NA,NA,0.063,4,5,0,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1427932.2,"converted",0.1,"reported","N",NA,10,"acute",NA,NA,"Clear","fitness","reproduction","fertilization.yield",1,"cell",NA,"PS",1.07,1.07e-09,"estimated","sphere","negative",-28.3,"uv.treated.filtered.seawater",NA,5e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0.785398163,0.065449847,7e-11,2,"N","Y","dynamic.light.scatter","filtered.uv.treated.seawater","N",NA,"Y","raman","commercial","polysciences,bangs.laboratories","unknown","N","No","Not Cleaned","N","N","aeration,pdi quantified","N",NA,NA,"N","SK,LTH","No","100nm < 1µm","Sphere","Polystyrene","Mollusca","Fitness","Reproduction","Fertilization Yield","Cell","In Vivo","Adult","Marine","Crassostrea gigas","10","Acute","Red Criteria Passed","Red Criteria Passed","No","4",9518.90176843551,"Particle Only",1121495.32676855,11219973757.1429,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93457.9440163734,1121495.32676855,16021361810979262464,"Marine","Crassostrea gigas","Mollusca"
"23",4286,"Koelmans,Jacob","10.1016/j.marpolbul.2018.03.016",131,2,2,2,2,2,2,2,2,1,2,1,0,0,0,0,1,1,0,0,2,2,0,0,0,1,0,1,10,6,16,"de Ruijter","Pass",NA,"Fail","B1","Jovanovic",2018,"Sparus","aurata","Fish","Marine","Juvenile","invivo",NA,35,"fishbase.org",21.004577981371,NA,"food","N","N","Lab","Y","N",NA,NA,NA,NA,NA,NA,25.7,25.8,45,1,1,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","HONEC",1,"chronic",1,NA,"Clear","metabolism","carb.metabolism","glucose.con",1,"subcell","blood","PA",1.09,1.09e-09,"estimated","fragment",NA,NA,NA,NA,NA,NA,NA,0.1117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",111.7,NA,89959.1140779649,289878.290242892,0.000127264,4,"N","Y","microscopy",NA,"Y","light.microscopy","N",NA,"commercial","sigma,02395","N","N","No","Not Cleaned","N","N","Not Evaluated","Y","koh disgestion microscopy","gut,muscle,liver","Y","LTH","No","100µm < 1mm","Fragment","Polyamide","Fish","Metabolism","Carb Metabolism","Glucose Concentration","Subcell","In Vivo","Juvenile","Marine","Sparus aurata","1","Chronic","Red Criteria Passed","Red Criteria Failed","No","1",21004.577981371,"Particle Only",NA,706870081.703898,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marine","Sparus aurata","Fish"
"24",2857,"Koelmans","10.1016/j.envpol.2019.04.142",88,2,2,2,2,2,2,2,2,1,2,2,0,0,0,1,0,2,2,0,2,2,0,0,0,0,0,2,14,6,20,"de Ruijter","Pass",NA,"Fail","B1","Seoane",2019,"Chaetoceros","neogracile","Algae","Marine","Not Reported","invivo",NA,NA,NA,NA,NA,"water","N","N","Lab","Y","N","filtered autoclaved natural seawater",NA,NA,NA,NA,20,NA,NA,3,1,3,1,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127853.1596,"converted",2.5,"reported","N","HONEC",1,"chronic",1,NA,"Clear","fitness","growth","growth.rate",3,"organism",NA,"PS",1.07,1.07e-09,"estimated","sphere","negative",-6.9,"filtered.autoclaved.natural.seawater","NH2",5e-04,NA,NA,0.003268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.268,NA,33.55165662,18.27446897,1.96e-08,3,"N","Y","dynamic.light.scatter","filtered.autoclaved.natural.seawater","Y","SEM","N",NA,"commercial","micromod","unknown","N","No","Not Cleaned","N","N","poly disperisity quantified aggregates observed","N",NA,NA,NA,"LTH","No","1µm < 100µm","Sphere","Polystyrene","Algae","Fitness","Growth","Growth Rate","Organism","In Vivo","Not Reported","Marine","Chaetoceros neogracile","1","Chronic","Red Criteria Passed","Red Criteria Failed","No","1",NA,"Particle Only",4289685.30868126,1711819215.30612,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2336448.59782666,4289685.30868126,218861495340880480,"Marine","Chaetoceros neogracile","Algae"
