source,doi,article,authors,year,genus,species,organism.group,life.stage,invitro.invivo,exposure.route,leachate.only,fed,polymer,mix,functional.group,shape,size.category,size.mm,size.min.mm,size.max.mm,type,environment,negative.control,positive.control,dose.particles.mL,dose.particles.mL.min,dose.particles.mL.max,dose.mg.L,dose.mg.kg.sed,dose.mg.kg.food,dose.particles.kg.food,dose.particles.kg.food.min,dose.particles.kg.food.max,dose.percent.sed,dose.particles.m2,dose.mg.m2,dose.percent.food,dose.particles.kg.sed,chem.add,chem.add.dose.mg.L,chem.exp.typ,exposure.duration.d,effect,lvl1,lvl2,lvl3,target.cell.tissue,bio.org,stat.clarity,treatments,replicates,size.valid,shape.valid,polymer.valid,source_1,contaminant.screen,sol.rinse,background.plastics,con.valid,homo.mix,exposure.valid,weather.biofoul,log_dose.mg.L,log_dose.particles.mL,effect_f,Conc,Species,Group
"Koelmans,Rochman",10.1016/j.chemosphere.2018.11.070,32,Detree.GallardoEscarate,2016,Daphnia,fossarum,Insect,Early,invivo,water,Y,Y,PA,N,NH2,sphere,2,0.0096,0.068,0.3545,Lab,Marine,Y,Y,21,78000000,50000000000,0.184,1000,1084000,1000000000,25000000,35000000,60,1044800,10,70,940,bpa,0.001,sorbed,42,Y,fitness,liver.histo,alt.activity,gall.bladder,organism,Unclear,10,2,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-0.735182176990464,1.32221929473392,N,0.184,Crassostrea gigas,Echinoderm
"Koelmans,Rochman,Jacob",10.1016/j.chemosphere.2019.07.065,33,Ding,2017,Diatoms,franciscana ,Mollusca,Juveniles,invitro,food,N,N,PC,Y,SO3,cube,3,0.01,0.08,0.35856,Mesocosm,Terrestrial,N,N,22.5,1600000000,100000000000,0.19,1250,0.0009,0.000012,25000000,35000000,0.005,26800000,0.5,0.01,2350,cefalexin,0.002,co.exp,44,N,immune,liver.kidney.products,alt.con,gills,population,Clear,1,3,N,N,N,N,N,N,N,N,N,N,N,-0.721246399047171,1.35218251811136,Y,0.19,Crepidula onyx,Fish
Rochman,10.1016/j.cub.2013.10.012,34,Espinosa,2018,Dicentrachus,fulvus,Nematoda,Adult,invivo,maternal.transfer,Y,Y,PE,n,COOH,fiber,4,0.015,0.09,0.4,Field,Freshwater,Y,Y,27.11,3100000000,200000000000,0.2,2500,0.009,0.00002,25000000,35000000,0.02,500,1,0.1,110000,chromium,0.01,sorbed,45,Y,metabolism,locomotion,amino.acid.trans,gonad,subcell,Unclear,2,4,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-0.698970004336019,1.43312951758049,N,0.2,Cyanobacteria NA,Insect
"Rochman,Jacob",10.1016/j.cub.2013.10.068,35,Ferrerira,2019,Dicentrarchus,galeata,Plant,Early,invitro,sediment,N,N,PET,N,NH2,fragment,5,0.02,0.1,0.41,Lab,Marine,N,N,30,6200000000,400000000000,0.216,5000,0.099,0.00012,25000000,35000000,0.05,2600,5,0.3,2400000,copper,0.016,co.exp,47,N,microbiome,mortality,ammonia.con,granulocyte,tissue,Clear,3,5,N,N,N,lab,N,N,N,N,N,N,N,-0.665546248849069,1.47712125471966,Y,0.216,Cyprinodon variegatus,Mollusca
Jacob,10.1016/j.cub.2013.10.069,36,Fonte,2020,Dreissena,galloprovincialis,Rotifera,Juveniles,invivo,water,Y,Y,PI,Y,SO3,sphere,1,0.0228,0.125,0.478,Mesocosm,Terrestrial,Y,Y,33,12000000000,800000000000,0.22,10000,100,0.00035,25000000,35000000,0.074,2610,10,0.4,9300000,ee2,0.02,sorbed,48,Y,stress,nervous.system,amylase.mrnaexpression,haemocytes,cell,Unclear,4,6,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-0.657577319177794,1.51851393987789,N,0.22,Cyprinus carpio,Nematoda
Koelmans,10.1016/j.cub.2013.10.070,37,Franzellitti,2008,Dunaliella,gariepinus,Algae,Adult,invitro,food,N,N,PLA,n,COOH,cube,2,0.0234,0.15,0.5,Field,Freshwater,N,N,34,21000,34000,0.23,20000,300,3333.3333333333,25000000,35000000,0.2,5200,0.5,4,24000000,mercury,0.020225,co.exp,50,N,alimentary.excretory,oxidative.stress,antioxidant.act,haemolymph,organism,Clear,5,7,N,N,N,commercial,N,N,N,N,N,N,N,-0.638272163982407,1.53147891704226,Y,0.23,Danio rerio,Plant
"Koelmans,Jacob",10.1016/j.cub.2013.10.071,38,Frydkejar,2010,Echinogammarus,gigas,Annelida,Early,invivo,maternal.transfer,Y,Y,PMMA,N,NH2,fiber,3,0.025,0.18,0.516,Lab,Marine,Y,Y,40,43000,68000,0.25,50000,500,40000,25000000,35000000,0.5,5220,1,10,60000000,nickel,0.04,sorbed,56,Y,behavioral.sense.neuro,photosynthesis,aox.activity,head,population,Unclear,6,8,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-0.602059991327962,1.60205999132796,N,0.25,Daphnia galeata,Rotifera
"Koelmans,Rochman",10.1016/j.cub.2013.10.072,39,Gambardella,2011,Eisenia,gonionotus,Bacterium,Juveniles,invitro,sediment,N,N,PP,Y,SO3,fragment,4,0.028,0.25,0.5361,Mesocosm,Terrestrial,N,N,42.9,85000,130000,0.26,70000,496000,100000000,25000000,35000000,0.74,156700,5,30,93000000,nonylphenol,0.08,co.exp,60,N,circulatory.respiratory,proteobacteria,apo.mrnaexpression,head.kidney.leuk,subcell,Clear,7,9,N,N,N,N,N,N,N,N,N,N,N,-0.585026652029182,1.63245729218472,Y,0.26,Daphnia magna,(Missing)
"Koelmans,Rochman,Jacob",10.1016/j.cub.2013.10.073,40,Gardon,2012,Ennucula,gratilla,Cnidaria,Adult,invivo,water,Y,Y,PS,n,COOH,sphere,5,0.03,0.42,0.6,Field,Freshwater,Y,Y,45,170000,270000,0.368,100000,1084000,1000000000,25000000,35000000,1,261200,10,70,232500000,paraquat,0.1,sorbed,61,Y,community,reproduction,ar.mrnaexpression,heart,tissue,Unclear,10,10,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-0.434152181326482,1.65321251377534,N,0.368,Daphnia pulex,Algae
Rochman,10.1016/j.cub.2013.10.074,41,Gerdes,2013,Eriocheir,helgolandicus,Crustacea,Early,invitro,food,N,N,PUR,N,NH2,cube,1,0.0327,1,0.6016,Lab,Marine,N,N,50,340000,540000,0.4,200000,0.0009,0.000012,25000000,35000000,2,365700,0.5,0.01,94,pbde47,0.126,co.exp,69,N,fitness,respiration,area,hyalinocyte,cell,Clear,1,11,N,N,N,lab,N,N,N,N,N,N,N,-0.397940008672038,1.69897000433602,Y,0.4,Diatoms NA,Annelida
"Rochman,Jacob",10.1016/j.cub.2013.10.075,42,Goncalves,2014,Gammarus,japonicus,Echinoderm,Juveniles,invivo,maternal.transfer,Y,Y,PVC,Y,SO3,fiber,2,0.034,3,0.704,Mesocosm,Terrestrial,Y,Y,54,680000,1100000,0.44,280000,0.009,0.00002,25000000,35000000,3.8,522400,1,0.1,940,pcb,0.16,sorbed,72,Y,immune,sexhormones,area.traveled,jaw,organism,Unclear,2,12,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-0.356547323513813,1.73239375982297,N,0.44,Dicentrachus labrax,Bacterium
Jacob,10.1016/j.cub.2013.10.076,43,Gray.Weinstein,2015,Halomonas,koreanus,Fish,Adult,invitro,sediment,N,N,BIO,n,COOH,fragment,3,0.035,0,0.707,Field,Freshwater,N,N,60,39000000,25000000000,0.5,300000,0.099,0.00012,25000000,35000000,5,1044800,5,0.3,2350,phenanthrene,0.2,co.exp,78,N,metabolism,shoaling,aspartate.aminotransferase.con,kidney,population,Clear,3,15,N,N,N,commercial,N,N,N,N,N,N,N,-0.301029995663981,1.77815125038364,Y,0.5,Dicentrarchus labrax,Cnidaria
Koelmans,10.1016/j.ecoenv.2015.09.021,44,Green,2016,Hediste,krefftii,Insect,Early,invivo,water,Y,Y,EVA,N,NH2,sphere,4,0.036,0.00031,0.95,Lab,Marine,Y,Y,67,78000000,50000000000,0.55,400000,100,0.00035,25000000,35000000,7,26800000,10,0.4,110000,pyrene,0.252,sorbed,90,Y,microbiome,stress,assemblage,kidney.neutrophil,subcell,Unclear,4,20,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-0.259637310505756,1.82607480270083,N,0.55,Dreissena polymorpha,Crustacea
"Koelmans,Jacob",10.1016/j.ecoenv.2017.03.029,45,Greven,2017,Heliopora,labrax,Mollusca,Juveniles,invitro,food,N,N,LTX,Y,SO3,cube,5,0.04,0.0004,1,Mesocosm,Terrestrial,N,N,68,1600000000,100000000000,0.69,450000,300,3333.3333333333,25000000,35000000,7.4,500,0.5,4,2400000,triclosan,0.32,co.exp,95,N,stress,vision.system,assimilation.efficiency,leaf,tissue,Clear,5,24,N,N,N,N,N,N,N,N,N,N,N,-0.161150909262745,1.83250891270624,Y,0.69,Dunaliella salina,Echinoderm
