"DOI","Authors","Publication Year","Species","Life Stage","Shape","Broad Endpoint Category","Specific Endpoint Category","Endpoint","Concentration (Particles/mL)","Effect Detected?"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Mortality","Mortality",2289687201,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Mortality","Mortality",4579374401,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Mortality","Mortality",9366902185,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Mortality","Mortality",18213420915,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Mortality","Mortality",36426841829,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Mortality","Mortality",72853683658,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Mortality","Mortality",1.67e+11,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Mortality","Mortality",1.63e+11,"Yes"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Mortality","Mortality",3.64e+11,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Mortality","Mortality",7.81e+11,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Growth","Size",1144843600,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Growth","Size",2289687201,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Growth","Size",4579374401,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Growth","Size",9366902185,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Growth","Size",18213420915,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Growth","Size",36426841829,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Growth","Size",72853683658,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Growth","Size",1.67e+11,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Growth","Size",1.63e+11,"Yes"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Growth","Size",3.64e+11,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Growth","Size",7.81e+11,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Reproduction","Number of Offspring",1144843600,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Reproduction","Number of Offspring",2289687201,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Reproduction","Number of Offspring",4579374401,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Reproduction","Number of Offspring",9366902185,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Reproduction","Number of Offspring",18213420915,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Reproduction","Number of Offspring",36426841829,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Reproduction","Number of Offspring",72853683658,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Reproduction","Number of Offspring",1.67e+11,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Reproduction","Number of Offspring",1.63e+11,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Reproduction","Number of Offspring",3.64e+11,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Reproduction","Number of Offspring",7.81e+11,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Development","Abnormality Occurrence",1144843600,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Development","Abnormality Occurrence",2289687201,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Development","Abnormality Occurrence",4579374401,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Development","Abnormality Occurrence",9366902185,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Development","Abnormality Occurrence",18213420915,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Development","Abnormality Occurrence",36426841829,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Development","Abnormality Occurrence",72853683658,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Development","Abnormality Occurrence",1.67e+11,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Development","Abnormality Occurrence",1.63e+11,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Development","Abnormality Occurrence",3.64e+11,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Development","Abnormality Occurrence",7.81e+11,"No"
"10.1007/s11356-016-7584-2","Blarer & BurkhardtHom",2016,"Gammarus fossarum","Adult","Sphere","Fitness","Body Condition","Weight Change",12500,"No"
"10.1007/s11356-016-7584-2","Blarer & BurkhardtHom",2016,"Gammarus fossarum","Adult","Fiber","Fitness","Body Condition","Weight Change",284,"No"
"10.1016/j.scitotenv.2018.03.176","Caniff & Hoang",2018,"Daphnia magna","Adult","Sphere","Fitness","Mortality","Mortality",1905.35,"No"
"10.1016/j.scitotenv.2018.03.176","Caniff & Hoang",2018,"Daphnia magna","Adult","Sphere","Fitness","Mortality","Mortality",3810.7,"No"
"10.1016/j.scitotenv.2018.03.176","Caniff & Hoang",2018,"Daphnia magna","Adult","Sphere","Fitness","Mortality","Mortality",7621.4,"No"
"10.1016/j.scitotenv.2018.03.176","Caniff & Hoang",2018,"Daphnia magna","Adult","Sphere","Fitness","Reproduction","Number of Offspring",1905.35,"No"
"10.1016/j.scitotenv.2018.03.176","Caniff & Hoang",2018,"Daphnia magna","Adult","Sphere","Fitness","Reproduction","Number of Offspring",3810.7,"No"
"10.1016/j.scitotenv.2018.03.176","Caniff & Hoang",2018,"Daphnia magna","Adult","Sphere","Fitness","Reproduction","Number of Offspring",7621.4,"No"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","Sphere","Fitness","Development","Abnormality Occurrence",50,"No"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","Sphere","Fitness","Development","Abnormality Occurrence",100,"No"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","Sphere","Fitness","Development","Abnormality Occurrence",500,"No"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","Sphere","Fitness","Development","Abnormality Occurrence",1000,"No"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","Sphere","Fitness","Development","Abnormality Occurrence",5000,"No"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","Sphere","Fitness","Development","Abnormality Occurrence",10000,"No"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","Sphere","Fitness","Development","ep mRNA expression",50,"No"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","Sphere","Fitness","Development","ep mRNA expression",500,"Yes"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","Sphere","Fitness","Development","ca mRNA expression",50,"No"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","Sphere","Fitness","Development","ca mRNA expression",500,"Yes"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","Sphere","Fitness","Development","Chitin Synthase mRNA expression",50,"No"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","Sphere","Fitness","Development","Chitin Synthase mRNA expression",500,"Yes"
"10.1016/j.marpolbul.2018.02.039","Choi",2018,"Cyprinodon variegatus","Early","Fragment","Fitness","Mortality","Mortality",339,"No"
"10.1016/j.marpolbul.2018.02.039","Choi",2018,"Cyprinodon variegatus","Early","Fragment","Fitness","Mortality","Mortality",1694,"No"
"10.1016/j.marpolbul.2018.02.039","Choi",2018,"Cyprinodon variegatus","Early","Sphere","Fitness","Mortality","Mortality",21,"No"
"10.1016/j.marpolbul.2018.02.039","Choi",2018,"Cyprinodon variegatus","Early","Sphere","Fitness","Mortality","Mortality",104,"No"
"10.1021/es504525u","Cole",2015,"Calanus helgolandicus","Adult","Sphere","Fitness","Reproduction","Number of Offspring",75,"No"
"10.1021/es504525u","Cole",2015,"Calanus helgolandicus","Adult","Sphere","Fitness","Reproduction","Egg Size",75,"Yes"
"10.1021/es504525u","Cole",2015,"Calanus helgolandicus","Adult","Sphere","Fitness","Development","Hatching Success",75,"Yes"
"10.1021/es504525u","Cole",2015,"Calanus helgolandicus","Adult","Sphere","Fitness","Mortality","Mortality",75,"No"
"10.1021/acs.est.5b04099","Cole & Galloway",2015,"Crassostrea gigas","Early","Sphere","Fitness","Growth","Growth",100,"No"
"10.1021/acs.est.5b04099","Cole & Galloway",2015,"Crassostrea gigas","Early","Sphere","Fitness","Growth","Growth",100,"No"
"10.1371/journal.pone.0193308","Critchell & Hoogenboom",2018,"Acanthochromis polyacanthus","Juvenile","Fragment","Fitness","Growth","Body Mass",6.38e-05,"No"
"10.1371/journal.pone.0193308","Critchell & Hoogenboom",2018,"Acanthochromis polyacanthus","Juvenile","Fragment","Fitness","Growth","Body Mass",0.00014045,"No"
"10.1371/journal.pone.0193308","Critchell & Hoogenboom",2018,"Acanthochromis polyacanthus","Juvenile","Fragment","Fitness","Growth","Body Mass",0.000211951,"No"
"10.1371/journal.pone.0193308","Critchell & Hoogenboom",2018,"Acanthochromis polyacanthus","Juvenile","Fragment","Fitness","Growth","Body Mass",0.000255363,"No"
"10.1371/journal.pone.0193308","Critchell & Hoogenboom",2018,"Acanthochromis polyacanthus","Juvenile","Fragment","Fitness","Body Condition","Condition Index",6.38e-05,"No"
"10.1371/journal.pone.0193308","Critchell & Hoogenboom",2018,"Acanthochromis polyacanthus","Juvenile","Fragment","Fitness","Body Condition","Condition Index",0.00014045,"No"
"10.1371/journal.pone.0193308","Critchell & Hoogenboom",2018,"Acanthochromis polyacanthus","Juvenile","Fragment","Fitness","Body Condition","Condition Index",0.000211951,"No"
"10.1371/journal.pone.0193308","Critchell & Hoogenboom",2018,"Acanthochromis polyacanthus","Juvenile","Fragment","Fitness","Body Condition","Condition Index",0.000255363,"No"
"10.1371/journal.pone.0193308","Critchell & Hoogenboom",2018,"Acanthochromis polyacanthus","Juvenile","Fragment","Fitness","Growth","Body Mass",6.38e-05,"No"
"10.1371/journal.pone.0193308","Critchell & Hoogenboom",2018,"Acanthochromis polyacanthus","Juvenile","Fragment","Fitness","Growth","Body Mass",0.00014045,"No"
"10.1371/journal.pone.0193308","Critchell & Hoogenboom",2018,"Acanthochromis polyacanthus","Juvenile","Fragment","Fitness","Growth","Body Mass",0.000211951,"No"
"10.1371/journal.pone.0193308","Critchell & Hoogenboom",2018,"Acanthochromis polyacanthus","Juvenile","Fragment","Fitness","Growth","Body Mass",0.000255363,"No"
"10.1371/journal.pone.0193308","Critchell & Hoogenboom",2018,"Acanthochromis polyacanthus","Juvenile","Fragment","Fitness","Body Condition","Condition Index",6.38e-05,"No"
"10.1371/journal.pone.0193308","Critchell & Hoogenboom",2018,"Acanthochromis polyacanthus","Juvenile","Fragment","Fitness","Body Condition","Condition Index",0.00014045,"No"
"10.1371/journal.pone.0193308","Critchell & Hoogenboom",2018,"Acanthochromis polyacanthus","Juvenile","Fragment","Fitness","Body Condition","Condition Index",0.000211951,"No"
"10.1371/journal.pone.0193308","Critchell & Hoogenboom",2018,"Acanthochromis polyacanthus","Juvenile","Fragment","Fitness","Body Condition","Condition Index",0.000255363,"No"
"10.1371/journal.pone.0193308","Critchell & Hoogenboom",2018,"Acanthochromis polyacanthus","Juvenile","Fragment","Fitness","Body Condition","Hepatic Somatic Index",6.38e-05,"No"
"10.1371/journal.pone.0193308","Critchell & Hoogenboom",2018,"Acanthochromis polyacanthus","Juvenile","Fragment","Fitness","Body Condition","Hepatic Somatic Index",0.00014045,"No"
"10.1371/journal.pone.0193308","Critchell & Hoogenboom",2018,"Acanthochromis polyacanthus","Juvenile","Fragment","Fitness","Body Condition","Hepatic Somatic Index",0.000211951,"No"
"10.1371/journal.pone.0193308","Critchell & Hoogenboom",2018,"Acanthochromis polyacanthus","Juvenile","Fragment","Fitness","Body Condition","Hepatic Somatic Index",0.000255363,"No"
"10.1038/s41598-017-12299-2","Cui",2017,"Daphnia galeata","Adult","Sphere","Fitness","Mortality","Mortality",47067107026,"Yes"
"10.1038/s41598-017-12299-2","Cui",2017,"Daphnia galeata","Adult","Sphere","Fitness","Reproduction","Pregnancy Rate",47067107026,"Yes"
"10.1038/s41598-017-12299-2","Cui",2017,"Daphnia galeata","Adult","Sphere","Fitness","Reproduction","Number of Offspring",47067107026,"No"
"10.1038/s41598-017-12299-2","Cui",2017,"Daphnia galeata","Early","Sphere","Fitness","Mortality","Mortality",47067107026,"No"
"10.1038/s41598-017-12299-2","Cui",2017,"Daphnia galeata","Early","Sphere","Fitness","Development","Development",47067107026,"No"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","Fragment","Fitness","Mortality","Immobilization",1994.756138,"No"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","Fragment","Fitness","Mortality","Immobilization",9973.780692,"Yes"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","Fragment","Fitness","Mortality","Immobilization",19947.56138,"Yes"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","Fragment","Fitness","Mortality","Immobilization",99737.80692,"Yes"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","Fragment","Fitness","Mortality","Immobilization",199475.6138,"Yes"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","Fragment","Fitness","Mortality","Immobilization",997378.0692,"Yes"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","Sphere","Fitness","Mortality","Immobilization",163.4104229,"No"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","Sphere","Fitness","Mortality","Immobilization",817.0521143,"No"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","Sphere","Fitness","Mortality","Immobilization",1634.104229,"No"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","Sphere","Fitness","Mortality","Immobilization",8170.521143,"No"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","Sphere","Fitness","Mortality","Immobilization",16341.04229,"No"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","Sphere","Fitness","Mortality","Immobilization",81705.21143,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","Sphere","Fitness","Mortality","Mortality",350.7779287,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","Sphere","Fitness","Mortality","Mortality",3507.779287,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","Sphere","Fitness","Mortality","Mortality",35077.79287,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","Sphere","Fitness","Mortality","Mortality",350777.9287,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","Sphere","Fitness","Mortality","Mortality",3507779.287,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","Sphere","Fitness","Mortality","Mortality",350.7779287,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","Sphere","Fitness","Mortality","Mortality",3507.779287,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","Sphere","Fitness","Mortality","Mortality",35077.79287,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","Sphere","Fitness","Mortality","Mortality",350777.9287,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","Sphere","Fitness","Mortality","Mortality",3507779.287,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","Sphere","Fitness","Body Condition","Shell Growth",0.32,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","Sphere","Fitness","Body Condition","Shell Growth",3.2,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","Sphere","Fitness","Body Condition","Shell Growth",32,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","Sphere","Fitness","Reproduction","Gonad Development Index",0.32,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","Sphere","Fitness","Reproduction","Gonad Development Index",3.2,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","Sphere","Fitness","Reproduction","Gonad Development Index",32,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","Sphere","Fitness","Reproduction","Gonad Regression",0.32,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","Sphere","Fitness","Reproduction","Gonad Regression",3.2,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","Sphere","Fitness","Reproduction","Gonad Regression",32,"No"
"10.1038/s41598-019-47160-1","Gerdes",2019,"Daphnia magna","Early","Fragment","Fitness","Mortality","Mortality",92.06519453,"Yes"
"10.1038/s41598-019-47160-1","Gerdes",2019,"Daphnia magna","Early","Fragment","Fitness","Mortality","Mortality",920.6519453,"Yes"
"10.1038/s41598-019-47160-1","Gerdes",2019,"Daphnia magna","Early","Fragment","Fitness","Mortality","Mortality",9206.519453,"Yes"
"10.1038/s41598-019-47160-1","Gerdes",2019,"Daphnia magna","Early","Fragment","Fitness","Mortality","Mortality",92065.19453,"Yes"
"10.1038/s41598-019-47160-1","Gerdes",2019,"Daphnia magna","Early","Fragment","Fitness","Mortality","Mortality",920651.9453,"Yes"
"10.1038/s41598-019-47160-1","Gerdes",2019,"Daphnia magna","Early","Fragment","Fitness","Mortality","Mortality",9206519.453,"Yes"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","Sphere","Fitness","Mortality","Mortality",50,"No"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","Fragment","Fitness","Mortality","Mortality",50,"No"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","Fiber","Fitness","Mortality","Mortality",50,"Yes"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","Sphere","Fitness","Mortality","Mortality",50,"No"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","Sphere","Fitness","Mortality","Mortality",50,"Yes"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","Sphere","Fitness","Mortality","Mortality",50,"Yes"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","Sphere","Fitness","Mortality","Mortality",50,"Yes"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","Fragment","Fitness","Mortality","Mortality",50,"Yes"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","Fiber","Fitness","Mortality","Mortality",50,"Yes"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","Sphere","Fitness","Mortality","Mortality",50,"Yes"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","Sphere","Fitness","Mortality","Mortality",50,"No"
"10.1016/j.ecoenv.2017.03.029","Heindler",2017,"Parvocalanus crassirostris","Not Reported","Fragment","Fitness","Reproduction","Population Size",20000,"Yes"
"10.1016/j.ecoenv.2017.03.029","Heindler",2017,"Parvocalanus crassirostris","Adult","Fragment","Fitness","Reproduction","Fecundity",10000,"No"
"10.1016/j.ecoenv.2017.03.029","Heindler",2017,"Parvocalanus crassirostris","Adult","Fragment","Fitness","Reproduction","Fecundity",20000,"No"
"10.1016/j.ecoenv.2017.03.029","Heindler",2017,"Parvocalanus crassirostris","Adult","Fragment","Fitness","Reproduction","Fecundity",40000,"No"
"10.1016/j.ecoenv.2017.03.029","Heindler",2017,"Parvocalanus crassirostris","Adult","Fragment","Fitness","Reproduction","Fecundity",80000,"Yes"
"10.1016/j.envpol.2019.03.085","Jaikumar",2019,"Ceriodaphnia dubia","Early","Sphere","Fitness","Reproduction","Time to Offspring",100,"No"
"10.1016/j.envpol.2019.03.085","Jaikumar",2019,"Ceriodaphnia dubia","Early","Sphere","Fitness","Reproduction","Time to Offspring",1000,"No"
"10.1016/j.envpol.2019.03.085","Jaikumar",2019,"Ceriodaphnia dubia","Early","Sphere","Fitness","Reproduction","Time to Offspring",10000,"No"
"10.1016/j.envpol.2019.03.085","Jaikumar",2019,"Ceriodaphnia dubia","Early","Sphere","Fitness","Reproduction","Time to Offspring",1e+05,"No"
"10.1016/j.envpol.2019.03.085","Jaikumar",2019,"Ceriodaphnia dubia","Early","Sphere","Fitness","Reproduction","First Clutch Size",100,"No"
