"DOI","Authors","Publication Year","Species","Life Stage","Size Category","Broad Endpoint Category","Specific Endpoint Category","Endpoint","Concentration (Particles/mL)","Concentration (µg/mL)","Effect Metric"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","1mm < 5mm","Behavioral, Sensory, Neurological","Nervous System","5ht1 mRNA expression",50,742201.2644,"NOEC"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","1mm < 5mm","Behavioral, Sensory, Neurological","Nervous System","5ht1 mRNA expression",500,7422012.644,"LOEC"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","1mm < 5mm","Behavioral, Sensory, Neurological","Nervous System","meer 2 mRNA expression",50,742201.2644,"LOEC"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","1mm < 5mm","Fitness","Development","ep mRNA expression",50,742201.2644,"NOEC"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","1mm < 5mm","Fitness","Development","ep mRNA expression",500,7422012.644,"LOEC"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","1mm < 5mm","Fitness","Development","ca mRNA expression",50,742201.2644,"NOEC"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","1mm < 5mm","Fitness","Development","ca mRNA expression",500,7422012.644,"LOEC"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","1mm < 5mm","Fitness","Development","Chitin Synthase mRNA expression",50,742201.2644,"NOEC"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","1mm < 5mm","Fitness","Development","Chitin Synthase mRNA expression",500,7422012.644,"LOEC"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","1mm < 5mm","Metabolism","Oxidative Stress","mt20 mRNA expression",50,742201.2644,"NOEC"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","1mm < 5mm","Metabolism","Oxidative Stress","mt20 mRNA expression",500,7422012.644,"LOEC"
"10.1016/j.aquatox.2019.105296","Chae",2019,"Dunaliella salina","Not Reported","100µm < 1mm","Fitness","Growth","Chlorophyll",30,150,"NOEC"
"10.1016/j.aquatox.2019.105296","Chae",2019,"Dunaliella salina","Not Reported","100µm < 1mm","Fitness","Growth","Chlorophyll",40,200,"LOEC"
"10.1016/j.aquatox.2019.105296","Chae",2019,"Dunaliella salina","Not Reported","100µm < 1mm","Metabolism","Photosynthesis","Area",20,100,"NOEC"
"10.1016/j.aquatox.2019.105296","Chae",2019,"Dunaliella salina","Not Reported","100µm < 1mm","Metabolism","Photosynthesis","Area",30,150,"LOEC"
"10.1016/j.aquatox.2019.105296","Chae",2019,"Dunaliella salina","Not Reported","100µm < 1mm","Metabolism","Photosynthesis","f0/fm",10,50,"LOEC"
"10.1016/j.aquatox.2019.105296","Chae",2019,"Dunaliella salina","Not Reported","100µm < 1mm","Metabolism","Photosynthesis","fv/fm",10,50,"LOEC"
"10.1016/j.aquatox.2019.105296","Chae",2019,"Dunaliella salina","Not Reported","100µm < 1mm","Metabolism","Photosynthesis","fv/fm/sm/tfm",10,50,"NOEC"
"10.1016/j.aquatox.2019.105296","Chae",2019,"Dunaliella salina","Not Reported","100µm < 1mm","Metabolism","Photosynthesis","fv/fm/sm/tfm",20,100,"LOEC"
"10.1016/j.aquatox.2019.105296","Chae",2019,"Dunaliella salina","Not Reported","100µm < 1mm","Metabolism","Photosynthesis","ETO/ABS",10,50,"NOEC"
"10.1016/j.aquatox.2019.105296","Chae",2019,"Dunaliella salina","Not Reported","100µm < 1mm","Metabolism","Photosynthesis","ETO/ABS",20,100,"LOEC"
"10.1016/j.aquatox.2019.105296","Chae",2019,"Dunaliella salina","Not Reported","100µm < 1mm","Metabolism","Photosynthesis","Absorption Flux/Reaction Center",30,150,"NOEC"
"10.1016/j.aquatox.2019.105296","Chae",2019,"Dunaliella salina","Not Reported","100µm < 1mm","Metabolism","Photosynthesis","Absorption Flux/Reaction Center",40,200,"LOEC"
"10.1016/j.aquatox.2019.105296","Chae",2019,"Dunaliella salina","Not Reported","100µm < 1mm","Metabolism","Photosynthesis","Energy Dissipated/Reaction Center",20,100,"NOEC"
"10.1016/j.aquatox.2019.105296","Chae",2019,"Dunaliella salina","Not Reported","100µm < 1mm","Metabolism","Photosynthesis","Energy Dissipated/Reaction Center",30,150,"LOEC"
"10.1016/j.aquatox.2019.105296","Chae",2019,"Dunaliella salina","Not Reported","100µm < 1mm","Metabolism","Photosynthesis","ETO/RC",30,150,"NOEC"
"10.1016/j.aquatox.2019.105296","Chae",2019,"Dunaliella salina","Not Reported","100µm < 1mm","Metabolism","Photosynthesis","ETO/RC",40,200,"LOEC"
"10.1016/j.aquatox.2019.105296","Chae",2019,"Dunaliella salina","Not Reported","100µm < 1mm","Fitness","Growth","Cell Size",20,100,"NOEC"
"10.1016/j.aquatox.2019.105296","Chae",2019,"Dunaliella salina","Not Reported","100µm < 1mm","Fitness","Growth","Cell Size",30,150,"LOEC"
"10.1016/j.aquatox.2019.105296","Chae",2019,"Dunaliella salina","Not Reported","100µm < 1mm","Fitness","Growth","Cell Granularity",30,150,"NOEC"
"10.1016/j.aquatox.2019.105296","Chae",2019,"Dunaliella salina","Not Reported","100µm < 1mm","Fitness","Growth","Cell Granularity",40,200,"LOEC"
"10.1038/s41598-018-33683-6","Chapron",2018,"Lophelia pertusa","Adult","100µm < 1mm","Behavioral, Sensory, Neurological","Feeding","Capture Rate",0.35,23.1365209,"LOEC"
"10.1038/s41598-018-33683-6","Chapron",2018,"Lophelia pertusa","Adult","100µm < 1mm","Behavioral, Sensory, Neurological","Locomotion","Polyp Activity",0.35,23.1365209,"LOEC"
"10.1038/s41598-018-33683-6","Chapron",2018,"Lophelia pertusa","Adult","100µm < 1mm","Fitness","Body Condition","Growth Rate",0.35,23.1365209,"LOEC"
"10.1016/j.marpolbul.2018.02.039","Choi",2018,"Cyprinodon variegatus","Early","1µm < 100µm","Behavioral, Sensory, Neurological","Locomotion","Swim Distance",1694,250,"LOEC"
"10.1016/j.marpolbul.2018.02.039","Choi",2018,"Cyprinodon variegatus","Early","1µm < 100µm","Metabolism","Oxidative Stress","Catalase mRNA expression",339,50,"LOEC"
"10.1016/j.marpolbul.2018.02.039","Choi",2018,"Cyprinodon variegatus","Early","1µm < 100µm","Metabolism","Oxidative Stress","sod3 mRNA expression",339,50,"LOEC"
"10.1016/j.marpolbul.2018.02.039","Choi",2018,"Cyprinodon variegatus","Early","1µm < 100µm","Immune","Chemokines","cxcr5 mRNA expression",339,50,"LOEC"
"10.1016/j.marpolbul.2018.02.039","Choi",2018,"Cyprinodon variegatus","Early","1µm < 100µm","Immune","Immune Other ","tp53 mRNA expression",339,50,"LOEC"
"10.1016/j.marpolbul.2018.02.039","Choi",2018,"Cyprinodon variegatus","Early","1µm < 100µm","Metabolism","Oxidative Stress","Catalase Activity",339,50,"LOEC"
"10.1016/j.marpolbul.2018.02.039","Choi",2018,"Cyprinodon variegatus","Early","1µm < 100µm","Immune","Immune Other ","tp53 Concentration",339,50,"LOEC"
"10.1016/j.marpolbul.2018.02.039","Choi",2018,"Cyprinodon variegatus","Early","100µm < 1mm","Metabolism","Oxidative Stress","sod3 mRNA expression",21,50,"LOEC"
"10.1016/j.marpolbul.2018.02.039","Choi",2018,"Cyprinodon variegatus","Early","100µm < 1mm","Immune","Chemokines","cxcr5 mRNA expression",21,50,"NOEC"
"10.1016/j.marpolbul.2018.02.039","Choi",2018,"Cyprinodon variegatus","Early","100µm < 1mm","Immune","Chemokines","cxcr5 mRNA expression",104,250,"LOEC"
"10.1016/j.marpolbul.2018.02.039","Choi",2018,"Cyprinodon variegatus","Early","100µm < 1mm","Immune","Immune Other ","casp3 mRNA expression",21,50,"NOEC"
"10.1016/j.marpolbul.2018.02.039","Choi",2018,"Cyprinodon variegatus","Early","100µm < 1mm","Immune","Immune Other ","casp3 mRNA expression",104,250,"LOEC"
"10.1016/j.marpolbul.2018.02.039","Choi",2018,"Cyprinodon variegatus","Early","100µm < 1mm","Immune","Immune Other ","tp53 Concentration",21,50,"NOEC"
"10.1016/j.marpolbul.2018.02.039","Choi",2018,"Cyprinodon variegatus","Early","100µm < 1mm","Immune","Immune Other ","tp53 Concentration",104,250,"LOEC"
"10.1021/es504525u","Cole",2015,"Calanus helgolandicus","Adult","1µm < 100µm","Fitness","Reproduction","Egg Size",75,0.336150414,"LOEC"
"10.1021/es504525u","Cole",2015,"Calanus helgolandicus","Adult","1µm < 100µm","Fitness","Development","Hatching Success",75,0.336150414,"LOEC"
"10.1021/es502569w","DellaTorre",2014,"Paracentrotus lividus","Early","100nm < 1µm","Stress","Stress","abcb1 mRNA expression",1394465039,50,"LOEC"
"10.1021/es502569w","DellaTorre",2014,"Paracentrotus lividus","Early","100nm < 1µm","Fitness","Development","Embryotoxicity",42837965.99,3,"NOEC"
"10.1021/es502569w","DellaTorre",2014,"Paracentrotus lividus","Early","100nm < 1µm","Fitness","Development","Embryotoxicity",71396609.99,5,"LOEC"
"10.1021/es502569w","DellaTorre",2014,"Paracentrotus lividus","Early","100nm < 1µm","Fitness","Development","Embryotoxicity",54975389.69,3.85,"EC50"
"10.1021/es502569w","DellaTorre",2014,"Paracentrotus lividus","Early","100nm < 1µm","Fitness","Development","Embryotoxicity",37269030.41,2.61,"EC50"
"10.1021/es502569w","DellaTorre",2014,"Paracentrotus lividus","Early","100nm < 1µm","Stress","Stress","cas8 mRNA expression",142793220,10,"LOEC"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","1µm < 100µm","Fitness","Mortality","Immobilization",1994.756138,10,"NOEC"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","1µm < 100µm","Fitness","Mortality","Immobilization",9973.780692,50,"LOEC"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","1µm < 100µm","Fitness","Mortality","Immobilization",12965.9149,65,"LC50"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Behavioral, Sensory, Neurological","Locomotion","Swim Speed",35077.79287,0.1,"NOEC"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Behavioral, Sensory, Neurological","Locomotion","Swim Speed",350777.9287,1,"LOEC"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Behavioral, Sensory, Neurological","Nervous System","AcHE Activity",350.7779287,0.001,"LOEC"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Behavioral, Sensory, Neurological","Nervous System","Pseudocholinesterase Activity",350.7779287,0.001,"LOEC"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Metabolism","Oxidative Stress","Catalase Activity",350.7779287,0.001,"LOEC"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Behavioral, Sensory, Neurological","Locomotion","Swim Speed",35077.79287,0.1,"NOEC"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Behavioral, Sensory, Neurological","Locomotion","Swim Speed",350777.9287,1,"LOEC"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Behavioral, Sensory, Neurological","Nervous System","AcHE Activity",350.7779287,0.001,"LOEC"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Behavioral, Sensory, Neurological","Nervous System","Pseudocholinesterase Activity",350.7779287,0.001,"NOEC"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Behavioral, Sensory, Neurological","Nervous System","Pseudocholinesterase Activity",3507.779287,0.01,"LOEC"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Metabolism","Oxidative Stress","Catalase Activity",350.7779287,0.001,"LOEC"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Metabolism","General Metabolism","Assimilation Efficiency",3.2,0.0025,"NOEC"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Metabolism","General Metabolism","Assimilation Efficiency",32,0.025,"LOEC"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Metabolism","General Metabolism","Energy Balance",0.32,0.00025,"LOEC"
"10.1038/s41598-019-47160-1","Gerdes",2019,"Daphnia magna","Early","1µm < 100µm","Fitness","Mortality","Mortality",92.06519453,0.1,"LOEC"
"10.1038/s41598-019-47160-1","Gerdes",2019,"Daphnia magna","Early","1µm < 100µm","Fitness","Mortality","Mortality",51556.50894,56,"LC50"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","1µm < 100µm","Fitness","Mortality","Mortality",50,0.243095654,"LOEC"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","1µm < 100µm","Fitness","Mortality","Mortality",50,5.02731702,"LOEC"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","1µm < 100µm","Fitness","Mortality","Mortality",50,11.81778799,"LOEC"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","1µm < 100µm","Fitness","Mortality","Mortality",50,13.99634099,"LOEC"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","1µm < 100µm","Fitness","Mortality","Mortality",50,2.948122382,"LOEC"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","1µm < 100µm","Fitness","Mortality","Mortality",50,4.97495652,"LOEC"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","100µm < 1mm","Fitness","Mortality","Mortality",50,38.20799121,"LOEC"
"10.1016/j.ecoenv.2017.03.029","Heindler",2017,"Parvocalanus crassirostris","Not Reported","1µm < 100µm","Fitness","Reproduction","Population Size",20000,0.851764308,"LOEC"
"10.1016/j.ecoenv.2017.03.029","Heindler",2017,"Parvocalanus crassirostris","Adult","1µm < 100µm","Fitness","Reproduction","Fecundity",40000,1.703528616,"NOEC"
"10.1016/j.ecoenv.2017.03.029","Heindler",2017,"Parvocalanus crassirostris","Adult","1µm < 100µm","Fitness","Reproduction","Fecundity",80000,3.407057233,"LOEC"
"10.1016/j.ecoenv.2017.03.029","Heindler",2017,"Parvocalanus crassirostris","Adult","1µm < 100µm","Stress","Stress","h3 mRNA expression",20000,0.851764308,"LOEC"
"10.1016/j.envpol.2019.03.085","Jaikumar",2019,"Ceriodaphnia dubia","Early","1µm < 100µm","Fitness","Reproduction","Time to Offspring",10000,0.133806714,"NOEC"
"10.1016/j.envpol.2019.03.085","Jaikumar",2019,"Ceriodaphnia dubia","Early","1µm < 100µm","Fitness","Reproduction","Time to Offspring",1e+05,1.338067143,"LOEC"
"10.1016/j.envpol.2019.03.085","Jaikumar",2019,"Ceriodaphnia dubia","Early","1µm < 100µm","Fitness","Reproduction","Number of Clutches",10000,0.133806714,"NOEC"
"10.1016/j.envpol.2019.03.085","Jaikumar",2019,"Ceriodaphnia dubia","Early","1µm < 100µm","Fitness","Reproduction","Number of Clutches",1e+05,1.338067143,"LOEC"
"10.1016/j.envpol.2019.03.085","Jaikumar",2019,"Ceriodaphnia dubia","Early","1µm < 100µm","Fitness","Reproduction","First Three Clutch Sizes",100,0.001338067,"NOEC"
"10.1016/j.envpol.2019.03.085","Jaikumar",2019,"Ceriodaphnia dubia","Early","1µm < 100µm","Fitness","Reproduction","First Three Clutch Sizes",1000,0.013380671,"LOEC"
"10.1016/j.envpol.2019.03.085","Jaikumar",2019,"Ceriodaphnia dubia","Early","1µm < 100µm","Fitness","Reproduction","Number of Offspring",100,0.001338067,"NOEC"
"10.1016/j.envpol.2019.03.085","Jaikumar",2019,"Ceriodaphnia dubia","Early","1µm < 100µm","Fitness","Reproduction","Number of Offspring",1000,0.013380671,"LOEC"
"10.1016/j.envpol.2019.03.085","Jaikumar",2019,"Daphnia magna","Early","1µm < 100µm","Fitness","Reproduction","First Three Clutch Sizes",100,0.001338067,"LOEC"
"10.1016/j.envpol.2019.03.085","Jaikumar",2019,"Daphnia magna","Early","1µm < 100µm","Fitness","Reproduction","Number of Offspring",100,0.001338067,"LOEC"
"10.1016/j.envpol.2019.03.085","Jaikumar",2019,"Daphnia pulex","Early","1µm < 100µm","Fitness","Reproduction","Time to Offspring",100,0.001338067,"NOEC"
"10.1016/j.envpol.2019.03.085","Jaikumar",2019,"Daphnia pulex","Early","1µm < 100µm","Fitness","Reproduction","Time to Offspring",1000,0.013380671,"LOEC"
"10.1016/j.envpol.2019.03.085","Jaikumar",2019,"Daphnia pulex","Early","1µm < 100µm","Fitness","Reproduction","First Three Clutch Sizes",100,0.001338067,"LOEC"
"10.1016/j.envpol.2018.04.069","Jaikumar",2018,"Ceriodaphnia dubia","Early","1µm < 100µm","Fitness","Mortality","Mortality",63095.73445,0.845482842,"LC50"
"10.1016/j.envpol.2018.04.069","Jaikumar",2018,"Ceriodaphnia dubia","Early","1µm < 100µm","Fitness","Mortality","Mortality",12589.25412,0.168696005,"LC50"
"10.1016/j.envpol.2018.04.069","Jaikumar",2018,"Ceriodaphnia dubia","Early","1µm < 100µm","Fitness","Mortality","Mortality",1e+09,13400,"LC50"
"10.1016/j.envpol.2018.04.069","Jaikumar",2018,"Ceriodaphnia dubia","Early","1µm < 100µm","Fitness","Mortality","Mortality",630957.3445,8.454828416,"LC50"
"10.1016/j.envpol.2018.04.069","Jaikumar",2018,"Daphnia magna","Early","1µm < 100µm","Fitness","Mortality","Mortality",1e+10,134000,"LC50"
"10.1016/j.envpol.2018.04.069","Jaikumar",2018,"Daphnia magna","Early","1µm < 100µm","Fitness","Mortality","Mortality",5011872.336,67.15908931,"LC50"
"10.1016/j.envpol.2018.04.069","Jaikumar",2018,"Daphnia magna","Early","1µm < 100µm","Fitness","Mortality","Mortality",1e+10,134000,"LC50"
"10.1016/j.envpol.2018.04.069","Jaikumar",2018,"Daphnia magna","Early","1µm < 100µm","Fitness","Mortality","Mortality",630957.3445,8.454828416,"LC50"
"10.1016/j.envpol.2018.04.069","Jaikumar",2018,"Daphnia pulex","Early","1µm < 100µm","Fitness","Mortality","Mortality",1e+08,1340,"LC50"
"10.1016/j.envpol.2018.04.069","Jaikumar",2018,"Daphnia pulex","Early","1µm < 100µm","Fitness","Mortality","Mortality",2511886.432,33.65927818,"LC50"
"10.1016/j.envpol.2018.04.069","Jaikumar",2018,"Daphnia pulex","Early","1µm < 100µm","Fitness","Mortality","Mortality",1995262315,26736.51502,"LC50"
"10.1016/j.envpol.2018.04.069","Jaikumar",2018,"Daphnia pulex","Early","1µm < 100µm","Fitness","Mortality","Mortality",7943.282347,0.106439983,"LC50"
"10.1016/j.envpol.2018.04.069","Jaikumar",2018,"Ceriodaphnia dubia","Early","1µm < 100µm","Fitness","Mortality","Mortality",1e+05,1.34,"NOEC"
"10.1016/j.envpol.2018.04.069","Jaikumar",2018,"Ceriodaphnia dubia","Early","1µm < 100µm","Fitness","Mortality","Mortality",316.227766,0.004237452,"NOEC"
"10.1016/j.envpol.2018.04.069","Jaikumar",2018,"Daphnia magna","Early","1µm < 100µm","Fitness","Mortality","Mortality",50118.72336,0.671590893,"NOEC"
"10.1016/j.envpol.2018.04.069","Jaikumar",2018,"Daphnia magna","Early","1µm < 100µm","Fitness","Mortality","Mortality",3162.27766,0.042374521,"NOEC"
"10.1016/j.envpol.2018.04.069","Jaikumar",2018,"Daphnia pulex","Early","1µm < 100µm","Fitness","Mortality","Mortality",1e+05,1.34,"NOEC"
"10.1016/j.envpol.2018.04.069","Jaikumar",2018,"Daphnia pulex","Early","1µm < 100µm","Fitness","Mortality","Mortality",10.23292992,0.000137121,"NOEC"
"10.1016/j.chemosphere.2018.05.172","JemecKokalj",2018,"Artemia franciscana","Early","1µm < 100µm","Fitness","Growth","Length",5066.703,100,"LOEC"
"10.1016/j.chemosphere.2018.05.172","JemecKokalj",2018,"Artemia franciscana","Early","1µm < 100µm","Fitness","Growth","Length",376.04,100,"LOEC"
"10.1016/j.chemosphere.2018.05.172","JemecKokalj",2018,"Artemia franciscana","Early","100µm < 1mm","Fitness","Growth","Length",105.11,100,"LOEC"
"10.1016/j.chemosphere.2018.05.172","JemecKokalj",2018,"Artemia franciscana","Early","100µm < 1mm","Fitness","Growth","Length",27.11,100,"LOEC"
"10.1016/j.chemosphere.2018.05.172","JemecKokalj",2018,"Artemia franciscana","Early","100µm < 1mm","Fitness","Growth","Length",12.48,100,"LOEC"
"10.1016/j.chemosphere.2018.05.172","JemecKokalj",2018,"Artemia franciscana","Early","100µm < 1mm","Fitness","Growth","Length",83.79926392,100,"LOEC"
"10.1016/j.chemosphere.2018.05.172","JemecKokalj",2018,"Artemia franciscana","Early","100µm < 1mm","Fitness","Growth","Length",7.844,100,"LOEC"
"10.1021/acs.est.6b01441","Jeong",2016,"Brachionus koreanus","Early","1nm < 100nm","Fitness","Reproduction","Population Size",1427932.2,1e-04,"LOEC"
"10.1021/acs.est.6b01441","Jeong",2016,"Brachionus koreanus","Early","1nm < 100nm","Fitness","Reproduction","Fecundity",1427932.2,1e-04,"NOEC"
"10.1021/acs.est.6b01441","Jeong",2016,"Brachionus koreanus","Early","1nm < 100nm","Fitness","Reproduction","Fecundity",14279322,0.001,"LOEC"
"10.1021/acs.est.6b01441","Jeong",2016,"Brachionus koreanus","Early","1nm < 100nm","Fitness","Mortality","Lifespan",1427932.2,1e-04,"LOEC"
"10.1021/acs.est.6b01441","Jeong",2016,"Brachionus koreanus","Adult","1nm < 100nm","Metabolism","Oxidative Stress","Reactive Oxygen Species Production",142793220,0.01,"LOEC"
"10.1021/acs.est.6b01441","Jeong",2016,"Brachionus koreanus","Adult","1nm < 100nm","Stress","Stress","MAPK Phosphorylation",142793220,0.01,"LOEC"
"10.1021/acs.est.6b01441","Jeong",2016,"Brachionus koreanus","Adult","1nm < 100nm","Metabolism","Oxidative Stress","Glutathione Peroxidase Activity",142793220,0.01,"LOEC"
"10.1021/acs.est.6b01441","Jeong",2016,"Brachionus koreanus","Adult","1nm < 100nm","Metabolism","Oxidative Stress","Glutathione Reductase Activity",142793220,0.01,"LOEC"
"10.1021/acs.est.6b01441","Jeong",2016,"Brachionus koreanus","Adult","1nm < 100nm","Metabolism","Detoxification","Glutathione S-Transferase Activity",142793220,0.01,"LOEC"
"10.1021/acs.est.6b01441","Jeong",2016,"Brachionus koreanus","Adult","1nm < 100nm","Metabolism","Oxidative Stress","Superoxide Dismutase Activity",142793220,0.01,"LOEC"
