"DOI","Authors","Publication Year","Species","Life Stage","Size Category","Broad Endpoint Category","Specific Endpoint Category","Endpoint","Concentration (Particles/mL)","Concentration (µg/mL)","Effect Detected?"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","DNA Damage",19149.65893,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","DNA Damage",19149.65893,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","DNA Damage",19149.65893,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Behavioral, Sensory, Neurological","Nervous System","AcHE Activity",19149.65893,1500,"Yes"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Behavioral, Sensory, Neurological","Nervous System","AcHE Activity",19149.65893,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","Alternative Oxidase Activity",19149.65893,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","Glutathione Concentration",19149.65893,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","Glutathione Reductase Activity",19149.65893,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Detoxification","Glutathione S-Transferase Activity",19149.65893,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","Glutathione Peroxidase Activity",19149.65893,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","Catalase Activity",19149.65893,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","Antioxidant Activity",19149.65893,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","Malondialdehyde Concentration",19149.65893,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","Lipofuscin Accumulation",19149.65893,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Lipid Metabolism","Lipid Content",19149.65893,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","Labilization Period",19149.65893,1500,"Yes"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Fitness","Mortality","Mortality",16733.58047,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Immune","Immune Cells","Phagocytosis",16733.58047,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Immune","Immune Cells","Granulocyte to Hyalinocyte Ratio",16733.58047,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","Lysosomal Membrane Stability",16733.58047,1500,"Yes"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","DNA Damage",16733.58047,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","DNA Damage",16733.58047,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","DNA Damage",16733.58047,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Behavioral, Sensory, Neurological","Nervous System","AcHE Activity",16733.58047,1500,"Yes"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Behavioral, Sensory, Neurological","Nervous System","AcHE Activity",16733.58047,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","Alternative Oxidase Activity",16733.58047,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","Glutathione Concentration",16733.58047,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","Glutathione Reductase Activity",16733.58047,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Detoxification","Glutathione S-Transferase Activity",16733.58047,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","Glutathione Peroxidase Activity",16733.58047,1500,"Yes"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","Catalase Activity",16733.58047,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","Antioxidant Activity",16733.58047,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","Malondialdehyde Concentration",16733.58047,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","Lipofuscin Accumulation",16733.58047,1500,"Yes"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Lipid Metabolism","Lipid Content",16733.58047,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","Labilization Period",16733.58047,1500,"Yes"
"10.1016/j.ecoenv.2015.09.021","Bergami",2016,"Artemia franciscana","Early","1nm < 100nm","Fitness","Mortality","Mortality",1.39e+11,5,"No"
"10.1016/j.ecoenv.2015.09.021","Bergami",2016,"Artemia franciscana","Early","1nm < 100nm","Fitness","Mortality","Mortality",2.79e+11,10,"No"
"10.1016/j.ecoenv.2015.09.021","Bergami",2016,"Artemia franciscana","Early","1nm < 100nm","Fitness","Mortality","Mortality",6.97e+11,25,"No"
"10.1016/j.ecoenv.2015.09.021","Bergami",2016,"Artemia franciscana","Early","1nm < 100nm","Fitness","Mortality","Mortality",1.39e+12,50,"No"
"10.1016/j.ecoenv.2015.09.021","Bergami",2016,"Artemia franciscana","Early","1nm < 100nm","Fitness","Mortality","Mortality",2.79e+12,100,"No"
"10.1016/j.ecoenv.2015.09.021","Bergami",2016,"Artemia franciscana","Early","100nm < 1µm","Fitness","Mortality","Mortality",7493246311,5,"No"
"10.1016/j.ecoenv.2015.09.021","Bergami",2016,"Artemia franciscana","Early","100nm < 1µm","Fitness","Mortality","Mortality",14986492622,10,"No"
"10.1016/j.ecoenv.2015.09.021","Bergami",2016,"Artemia franciscana","Early","100nm < 1µm","Fitness","Mortality","Mortality",37466231554,25,"No"
"10.1016/j.ecoenv.2015.09.021","Bergami",2016,"Artemia franciscana","Early","100nm < 1µm","Fitness","Mortality","Mortality",74932463108,50,"No"
"10.1016/j.ecoenv.2015.09.021","Bergami",2016,"Artemia franciscana","Early","100nm < 1µm","Fitness","Mortality","Mortality",1.5e+11,100,"No"
"10.1021/es302763x","Besseling",2013,"Arenicola marina","Adult","100µm < 1mm","Fitness","Mortality","Mortality",18.16522745,1000,"No"
"10.1021/es302763x","Besseling",2013,"Arenicola marina","Adult","100µm < 1mm","Fitness","Mortality","Mortality",181.6522745,10000,"No"
"10.1021/es302763x","Besseling",2013,"Arenicola marina","Adult","100µm < 1mm","Fitness","Mortality","Mortality",1816.522745,1e+05,"No"
"10.1021/es302763x","Besseling",2013,"Arenicola marina","Adult","100µm < 1mm","Behavioral, Sensory, Neurological","Feeding","Feeding Activity",18.16522745,1000,"Yes"
"10.1021/es302763x","Besseling",2013,"Arenicola marina","Adult","100µm < 1mm","Behavioral, Sensory, Neurological","Feeding","Feeding Activity",181.6522745,10000,"Yes"
"10.1021/es302763x","Besseling",2013,"Arenicola marina","Adult","100µm < 1mm","Behavioral, Sensory, Neurological","Feeding","Feeding Activity",1816.522745,1e+05,"Yes"
"10.1021/es302763x","Besseling",2013,"Arenicola marina","Adult","100µm < 1mm","Fitness","Body Condition","Body Mass",18.16522745,1000,"No"
"10.1021/es302763x","Besseling",2013,"Arenicola marina","Adult","100µm < 1mm","Fitness","Body Condition","Body Mass",181.6522745,10000,"No"
"10.1021/es302763x","Besseling",2013,"Arenicola marina","Adult","100µm < 1mm","Fitness","Body Condition","Body Mass",1816.522745,1e+05,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Mortality","Mortality",1144843600,0.22,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Mortality","Mortality",2289687201,0.44,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Mortality","Mortality",4579374401,0.88,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Mortality","Mortality",9366902185,1.8,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Mortality","Mortality",18213420915,3.5,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Mortality","Mortality",36426841829,7,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Mortality","Mortality",72853683658,14,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Mortality","Mortality",1.67e+11,32,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Mortality","Mortality",1.63e+11,32,"Yes"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Mortality","Mortality",3.64e+11,70,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Mortality","Mortality",7.81e+11,150,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Growth","Size",1144843600,0.22,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Growth","Size",2289687201,0.44,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Growth","Size",4579374401,0.88,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Growth","Size",9366902185,1.8,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Growth","Size",18213420915,3.5,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Growth","Size",36426841829,7,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Growth","Size",72853683658,14,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Growth","Size",1.67e+11,32,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Growth","Size",1.63e+11,32,"Yes"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Growth","Size",3.64e+11,70,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Growth","Size",7.81e+11,150,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Reproduction","Number of Offspring",1144843600,0.22,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Reproduction","Number of Offspring",2289687201,0.44,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Reproduction","Number of Offspring",4579374401,0.88,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Reproduction","Number of Offspring",9366902185,1.8,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Reproduction","Number of Offspring",18213420915,3.5,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Reproduction","Number of Offspring",36426841829,7,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Reproduction","Number of Offspring",72853683658,14,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Reproduction","Number of Offspring",1.67e+11,32,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Reproduction","Number of Offspring",1.63e+11,32,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Reproduction","Number of Offspring",3.64e+11,70,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Reproduction","Number of Offspring",7.81e+11,150,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Development","Abnormality Occurrence",1144843600,0.22,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Development","Abnormality Occurrence",2289687201,0.44,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Development","Abnormality Occurrence",4579374401,0.88,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Development","Abnormality Occurrence",9366902185,1.8,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Development","Abnormality Occurrence",18213420915,3.5,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Development","Abnormality Occurrence",36426841829,7,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Development","Abnormality Occurrence",72853683658,14,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Development","Abnormality Occurrence",1.67e+11,32,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Development","Abnormality Occurrence",1.63e+11,32,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Development","Abnormality Occurrence",3.64e+11,70,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Development","Abnormality Occurrence",7.81e+11,150,"No"
"10.1021/es503001d","Besseling",2014,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Fitness","Reproduction","Population Size",2.29e+11,44,"No"
"10.1021/es503001d","Besseling",2014,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Fitness","Reproduction","Population Size",5.15e+11,99,"No"
"10.1021/es503001d","Besseling",2014,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Fitness","Reproduction","Population Size",1.14e+12,220,"No"
"10.1021/es503001d","Besseling",2014,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Fitness","Reproduction","Population Size",2.55e+12,490,"No"
"10.1021/es503001d","Besseling",2014,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Fitness","Reproduction","Population Size",5.72e+12,1100,"Yes"
"10.1021/es503001d","Besseling",2014,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Fitness","Growth","Chlorophyll",2.29e+11,44,"No"
"10.1021/es503001d","Besseling",2014,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Fitness","Growth","Chlorophyll",5.15e+11,99,"No"
"10.1021/es503001d","Besseling",2014,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Fitness","Growth","Chlorophyll",1.14e+12,220,"No"
"10.1021/es503001d","Besseling",2014,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Fitness","Growth","Chlorophyll",2.55e+12,490,"No"
"10.1021/es503001d","Besseling",2014,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Fitness","Growth","Chlorophyll",5.72e+12,1100,"No"
"10.1021/jp1054759","Bhattacharya",2010,"Chlorella NA","Not Reported","1nm < 100nm","Metabolism","Photosynthesis","CO2 Consumption",4.02e+11,1.8,"Yes"
"10.1021/jp1054759","Bhattacharya",2010,"Chlorella NA","Not Reported","1nm < 100nm","Metabolism","Photosynthesis","CO2 Consumption",5.8e+11,2.6,"Yes"
"10.1021/jp1054759","Bhattacharya",2010,"Chlorella NA","Not Reported","1nm < 100nm","Metabolism","Photosynthesis","CO2 Consumption",8.92e+11,4,"Yes"
"10.1021/jp1054759","Bhattacharya",2010,"Chlorella NA","Not Reported","1nm < 100nm","Metabolism","Photosynthesis","CO2 Consumption",1.45e+12,6.5,"Yes"
"10.1021/jp1054759","Bhattacharya",2010,"Chlorella NA","Not Reported","1nm < 100nm","Metabolism","Photosynthesis","CO2 Consumption",4.02e+11,1.8,"Yes"
"10.1021/jp1054759","Bhattacharya",2010,"Chlorella NA","Not Reported","1nm < 100nm","Metabolism","Photosynthesis","CO2 Consumption",5.8e+11,2.6,"Yes"
"10.1021/jp1054759","Bhattacharya",2010,"Chlorella NA","Not Reported","1nm < 100nm","Metabolism","Photosynthesis","CO2 Consumption",8.92e+11,4,"Yes"
"10.1021/jp1054759","Bhattacharya",2010,"Chlorella NA","Not Reported","1nm < 100nm","Metabolism","Photosynthesis","CO2 Consumption",1.45e+12,6.5,"Yes"
"10.1021/jp1054759","Bhattacharya",2010,"Chlorella NA","Not Reported","1nm < 100nm","Metabolism","Oxidative Stress","Reactive Oxygen Species Production",1.45e+12,6.5,"Yes"
"10.1021/jp1054759","Bhattacharya",2010,"Chlorella NA","Not Reported","1nm < 100nm","Metabolism","Oxidative Stress","Reactive Oxygen Species Production",1.45e+12,6.5,"No"
"10.1021/jp1054759","Bhattacharya",2010,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Metabolism","Photosynthesis","CO2 Consumption",4.02e+11,1.8,"Yes"
"10.1021/jp1054759","Bhattacharya",2010,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Metabolism","Photosynthesis","CO2 Consumption",5.8e+11,2.6,"Yes"
"10.1021/jp1054759","Bhattacharya",2010,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Metabolism","Photosynthesis","CO2 Consumption",8.92e+11,4,"Yes"
"10.1021/jp1054759","Bhattacharya",2010,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Metabolism","Photosynthesis","CO2 Consumption",1.45e+12,6.5,"Yes"
"10.1021/jp1054759","Bhattacharya",2010,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Metabolism","Photosynthesis","CO2 Consumption",4.02e+11,1.8,"Yes"
"10.1021/jp1054759","Bhattacharya",2010,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Metabolism","Photosynthesis","CO2 Consumption",5.8e+11,2.6,"Yes"
"10.1021/jp1054759","Bhattacharya",2010,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Metabolism","Photosynthesis","CO2 Consumption",8.92e+11,4,"Yes"
"10.1021/jp1054759","Bhattacharya",2010,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Metabolism","Photosynthesis","CO2 Consumption",1.45e+12,6.5,"Yes"
"10.1021/jp1054759","Bhattacharya",2010,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Metabolism","Oxidative Stress","Reactive Oxygen Species Production",1.45e+12,6.5,"Yes"
"10.1021/jp1054759","Bhattacharya",2010,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Metabolism","Oxidative Stress","Reactive Oxygen Species Production",1.45e+12,6.5,"No"
"10.1007/s11356-016-7584-2","Blarer & BurkhardtHom",2016,"Gammarus fossarum","Adult","1µm < 100µm","Behavioral, Sensory, Neurological","Feeding","Feeding Rate",12500,0.028684835,"No"
"10.1007/s11356-016-7584-2","Blarer & BurkhardtHom",2016,"Gammarus fossarum","Adult","1µm < 100µm","Metabolism","General Metabolism","Assimilation Efficiency",12500,0.028684835,"No"
"10.1007/s11356-016-7584-2","Blarer & BurkhardtHom",2016,"Gammarus fossarum","Adult","1µm < 100µm","Fitness","Body Condition","Weight Change",12500,0.028684835,"No"
"10.1007/s11356-016-7584-2","Blarer & BurkhardtHom",2016,"Gammarus fossarum","Adult","100µm < 1mm","Behavioral, Sensory, Neurological","Feeding","Feeding Rate",284,48.62557109,"No"
"10.1007/s11356-016-7584-2","Blarer & BurkhardtHom",2016,"Gammarus fossarum","Adult","100µm < 1mm","Metabolism","General Metabolism","Assimilation Efficiency",284,48.62557109,"Yes"
"10.1007/s11356-016-7584-2","Blarer & BurkhardtHom",2016,"Gammarus fossarum","Adult","100µm < 1mm","Fitness","Body Condition","Weight Change",284,48.62557109,"No"
"10.1021/es800249a","Browne",2008,"Mytilus edulis","Adult","1µm < 100µm","Metabolism","Oxidative Stress","Antioxidant Activity",42.9,0.000648938,"No"
"10.1021/es800249a","Browne",2008,"Mytilus edulis","Adult","1µm < 100µm","Immune","Immune Cells","Phagocytosis",42.9,0.000648938,"No"
"10.1021/es800249a","Browne",2008,"Mytilus edulis","Adult","1µm < 100µm","Immune","Immune Cells","Cell Viability",42.9,0.000648938,"No"
"10.1021/es800249a","Browne",2008,"Mytilus edulis","Adult","1µm < 100µm","Behavioral, Sensory, Neurological","Feeding","Clearance Rate",42.9,0.000648938,"No"
"10.1021/es800249a","Browne",2008,"Mytilus edulis","Adult","1µm < 100µm","Metabolism","Oxidative Stress","Antioxidant Activity",42.9,0.021264413,"No"
"10.1021/es800249a","Browne",2008,"Mytilus edulis","Adult","1µm < 100µm","Immune","Immune Cells","Phagocytosis",42.9,0.021264413,"No"
